"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "85" "67" "2" " 5. kerület, Belváros " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "54.9" "97" "4" " 14. kerület, Herminamezo " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "1950-1980 között" "2.4 m²" NA NA NA NA
"3" "329.9" "146" "3" " 6. kerület, Andrássy út " "újszeru" "luxus" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "hoszivattyú" "nem" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "tetotéri" "nincs megadva" "1950 elott" "18 m²" NA NA NA NA
"4" "74.5" "104" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"5" "240" "100" "3" " 2. kerület, Zivatar utca 16. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "20 Ft/hó" NA NA NA
"6" "30.9" "43" "1" " 7. kerület, István utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"7" "33" "59" "2" " 15. kerület, Csobogós utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA NA
"8" "25.9" "50" "2" " 8. kerület, Lujza utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "9 000 Ft/hó" NA NA NA
"9" "63.12" "78" "3" " 11. kerület, Péterhegy " "nincs megadva" "összkomfortos" "AA+" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely" "2019" "17 m²" NA NA NA NA
"10" "23.5" "27" "1" " 9. kerület, Mester utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA NA NA "nincs" NA
