"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "46.99" "56" "1" " 7. kerület, Rózsa utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "23 520 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "34 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "73.8" "75" "3" " 11. kerület, Maléter Pál utca " "újszeru" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "55 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "5 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2011" "van" "5 M Ft" NA
"3" "39" "48" "1" " 13. kerület, Kis Gömb utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "1.5 M Ft" NA
"4" "44.7" "52" "2" " 12. kerület, Krisztina körút 27. " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"5" "30" "36" "1" " 13. kerület, Szent László út 101-103. " "jó állapotú" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "nincs megadva" "2001-2010 között" "van" NA NA
"6" "24.5" "55" "2" " 15. kerület, Nyírpalota út 8. " "felújítandó" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "20 000 Ft/hó" "nem" "külön helyiségben" "északnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA "részt vett"
"7" "44.9" "75" "2.5" " 3. kerület, Zab utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA "nincs megadva"
"8" "41.8" "59" "1" " 14. kerület, Hungária körút 104. " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA
"9" "18.5" "33" "1" " 21. kerület, Vénusz utca 23. " "jó állapotú" "komfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA
"10" "21.5" "36" "1" " 14. kerület, Telepes utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "70" "75" "3" " 22. kerület, Hunyadi László utca " "újszeru" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "36 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2001-2010 között" "van" NA NA
"12" "49.5" "120" "4" " 8. kerület, Práter utca 71. " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA
"13" "27.6" "35" "1" " 4. kerület, Szigeti József utca 15. " "felújított" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA "nincs megadva"
"14" "91" "100" "5" " 9. kerület, Közraktár utca 2/A " "felújított" "luxus" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "hoszivattyú" "22 000 Ft/hó" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA
