"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "37.5" "37" "1" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "59" "95" "3" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "60" "42" "2" " 6. kerület, Külso-Terézváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "32.7" "56" "2" " 16. kerület, Újmátyásföld – Centenáriumi lakótelep " "felújított" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "van" "4.5 m²" NA NA
"5" "42.8" "75" "3" " 17. kerület, Rákoscsaba-Újtelep " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "van" NA NA NA
"6" "44.9" "47" "2" " 7. kerület, Wesselényi utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "25 000 Ft/hó" NA
"7" "52.9" "38" "1" " 5. kerület, Mérleg utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó" NA
"8" "34.9" "59" "2" " 17. kerület, Szigetcsép utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"9" "33.9" "71" "3" " 8. kerület, Szigetvári utca " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "20 000 Ft/hó" NA
"10" "153" "140" "4" " 14. kerület, Törökor " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "van" "74 m²" NA "3 M Ft"
