"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "parkolohely_ara"
"1" "16" "32" "1" " 20. kerület, Baba utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "45.6" "59" "3" " 7. kerület, Középso-Erzsébetváros " "újszeru" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" "nincs" NA NA NA
"3" "98" "94" "3" " 9. kerület, Tinódi utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "78.5" "123" "4" " 13. kerület, Angyalföld " "újszeru" "duplakomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2017" NA "13 m²" NA NA
"5" "37.9" "67" "3" " 16. kerület, Olga utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA "nincs megadva" NA
"6" "42.4" "36" "2" " 6. kerület, Nagymezo utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"7" "23.9" "49" "2" " 20. kerület, Helsinki út " "közepes állapotú" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (konvektor)" "30 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"8" "65.9" "75" "2" " 6. kerület, Bajnok utca " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "11 000 Ft/hó" "nem" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA
"9" "49.9" "58" "2" " 1. kerület, Mészáros utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "42.9" "75" "2" " 14. kerület, Miskolci utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), gázkazán" NA "nem" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"11" "49.9" "58" "2" " 1. kerület, Mészáros utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"12" "29.8" "46" "1" " 14. kerület, Szentmihályi út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" NA
"13" "29.9" "36" "1" " 19. kerület, Kossuth Lajos utca 5. " "újszeru" "luxus" "AA++" "3" "4" "van" "3 m vagy magasabb" "padlófutés, házközponti egyedi méréssel" "10 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2018" NA "4 m²" NA "2.5 M Ft"
