"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "85" "96" "3" " 7. kerület, Kéthly Anna tér " "felújított" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "49.9" "93" "3" " 7. kerület, Marek József utca " "nincs megadva" "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "45.8" "58" "2" " 7. kerület, Rózsák tere " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "tetotéri" "nincs megadva" "2001-2010 között" NA NA NA
"4" "78" "110" "3" " 14. kerület, Pósa Lajos utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA
"5" "84.9" "69" "2" " 5. kerület, Falk Miksa utca " "felújított" "luxus" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "padlófutés, fan-coil" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "van" "25 000 Ft/hó" NA
"6" "26.9" "53" "1" " 18. kerület, Hosszúház utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "11 000 Ft/hó" NA
"7" "85" "107" "4" " 8. kerület, Ülloi út " "jó állapotú" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "45.78" "50" "2" " 9. kerület, Vaskapu utca " "újszeru" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "2001-2010 között" NA NA NA
"9" "52.5" "53" "2" " 12. kerület, Székács utca " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "25 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "63.9" "64" "2" " 2. kerület, Káplár utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
