"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg"
"1" "129" "72" "2" " 7. kerület, Almássy tér " "felújított" "1950 elott" "duplakomfortos" "AA" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "63.9" "68" "2" " 7. kerület, Dohány utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "38.5" "39" "2" " 14. kerület, Ráskay Lea utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "37.5" "60" "1" " 13. kerület, Mór utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "84.9" "95" "4" " 14. kerület, Rákosfalva " "újszeru" "2015" "duplakomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "nincs megadva" "tetotéri" "önálló garázs - megvásárolható" "van" "12 m²" "12 M Ft" NA
"6" "114" "88" "3" " 13. kerület, Ipoly utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "távfutés" "igen" "külön és egyben is" "észak" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "nincs" "4 m²" NA NA
"7" "159.91" "103" "3" " 6. kerület, Nagymezo utca " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko), padlófutés" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"8" "32.57" "73" "2" " 18. kerület, Szent Imre-kertváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" NA "nincs megadva" NA "10 m²" NA NA
"9" "21.9" "29" "1" " 18. kerület, Bókaytelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "39.1" "55" "3" " 10. kerület, Kobánya – Óhegy " "nincs megadva" "2019" "duplakomfortos" "AA+" "2" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia, hoszivattyú" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" "5.52 m²" "3.8 M Ft" "10 000 Ft/hó"
