"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "epites_eve" "parkolohely_ara"
"1" "114" "138" "4" " 6. kerület, Dessewffy utca " "újszeru" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "27.49" "54" "2" " 4. kerület, Virág utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "38 000 Ft/hó" "4 m²" "nincs megadva" NA NA
"3" "99" "78" "2" " 5. kerület, Apáczai Csere János utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"4" "34.5" "52" "2" " 11. kerület, Etele út 48/A " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA
"5" "59" "87" "1" " 6. kerület, Aradi utca " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "15 000 Ft/hó" NA NA "1950 elott" NA
"6" "28.9" "57" "2" " 10. kerület, Zsombék utca 42. " "jó állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "25 000 Ft/hó" "2 m²" "részt vett" "1981-2000 között" NA
"7" "37.6" "63" "2" " 17. kerület, Újmajori utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA "12 m²" NA "2001-2010 között" NA
"8" "33.5" "55" "1" " 11. kerület, Menyecske utca " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva" NA NA
"9" "50" "55" "2" " 2. kerület, Borbolya utca 9. " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "23 000 Ft/hó" NA NA NA NA
"10" "49.9" "61" "2" " 6. kerület, Podmaniczky utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "1950 elott" NA
