"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram" "legkondicionalo"
"1" "58.3" "76" "3" " 13. kerület, Gömb Ház " "Gömb Ház" "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "16.21 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA NA
"2" "79.3" "94" "4" " 13. kerület, Gömb Ház " "Gömb Ház" "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "14.73 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA NA
"3" "62.3" "71" "3" " 13. kerület, Gömb Ház " "Gömb Ház" "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "15.28 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA NA
"4" "66.3" "80" "3" " 13. kerület, Gömb Ház " "Gömb Ház" "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "17.28 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA NA
"5" "99.95" "135" "4" " 6. kerület, Csengery utca " NA "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "40 000 Ft/hó" NA NA
"6" "29.99" "54" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"7" "28.9" "56" "2" " 14. kerület, Cinkotai út " NA "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "5 m²" "igen" "nincs megadva" "önálló garázs - kötelezo megvenni" "3 M Ft" NA NA NA
"8" "38.9" "68" "2" " 22. kerület, Budafok – Leányka utcai lakótelep " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "panorámás" "2 m²" "nem" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"9" "44.99" "50" "2" " 9. kerület, Vaskapu utca 17. " NA "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "északnyugat" "udvari" "10 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "16 000 Ft/hó" NA "nincs"
"10" "23.5" "64" "2" " 21. kerület, Erdosor utca " NA "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva" "van"
