"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg"
"1" "77.25" "84" "5" " 13. kerület, Metropolitan Garden " "Metropolitan Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "14.09 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"2" "83" "120" "4" " 14. kerület, Rákosfalva " NA "újszeru" "2015" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "36.9" "37" "1" " 5. kerület, Nagy Ignác utca " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"4" "94.79" "101" "3" " 11. kerület, Ormezo " NA "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, hoszivattyú" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "37 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" "van" NA
"5" "41.44" "58" "2" " 13. kerület, Béke utca " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "25 000 Ft/hó"
"6" "99.8" "93" "5" " 13. kerület, Metropolitan Garden " "Metropolitan Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "41.9 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"7" "119" "117" "4" " 6. kerület, Podmaniczky utca " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA "50 000 Ft/hó"
"8" "53.5" "109" "4" " 8. kerület, Luther utca " NA "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nem" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs" NA
"9" "43.9" "83" "3" " 7. kerület, Rózsák tere " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"10" "44.99" "65" "2" " 3. kerület, Rómaifürdo " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "kertre nézo" "10 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" "30 000 Ft/hó"
"11" "46" "50" "1" " 11. kerület, Kelenföld – Fehérvári úti lakótelep " NA "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" NA "utca, közterület - ingyenes" NA "van" "10 000 Ft/hó"
"12" "88.46" "86" "4" " 13. kerület, Metropolitan Garden " "Metropolitan Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "30.86 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"13" "83.9" "105" "3" " 1. kerület, Attila út " NA "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "30 000 Ft/hó"
"14" "110" "95" "3" " 7. kerület, Dohány utca " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "89" "170" "5" " 8. kerület, Józsefváros – Corvinnegyed " NA "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "80.87" "85" "3" " 3. kerület, Beszterce utca " NA "újszeru" "2019" "összkomfortos" "AA+" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön helyiségben" "dél" "udvari" "10 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" "van" NA
"17" "109" "95" "3" " 7. kerület, Dohány utca " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA "van" "45 000 Ft/hó"
"18" "95.9" "97" "3" " 5. kerület, Falk Miksa utca " NA "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "35.75" "41" "2" " 10. kerület, Bányató utca " NA "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
