"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "66.5" "81" "3" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "58" "85" "2" " 13. kerület, Lehel utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "59.9" "130" "4" " 7. kerület, Baross tér " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "79" "68" "3" " 13. kerület, Petneházy utca " "újszeru" "2017" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "50 m²" NA NA NA
"5" "78" "100" "2" " 13. kerület, Visegrádi utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
"6" "30" "49" "2" " 13. kerület, Lehel utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "285.43" "188" "4" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "újszeru" "2016" "luxus" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "hoszivattyú" "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - kötelezo megvenni" "12 m²" "van" "6 M Ft" NA
"8" "78.9" "93" "3" " 12. kerület, Orbánhegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "12 m²" NA NA NA
"9" "46.7" "79" "2" " 7. kerület, Cserhát utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "34.5" "63" "2" " 14. kerület, Alsórákos " "jó állapotú" NA "nincs megadva" "nincs megadva" "6" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" NA "utca, közterület" "7.3 m²" NA NA NA
"11" "31.99" "48" "1" " 14. kerület, Istvánmezo " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "89.7" "140" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" NA "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" NA "nincs megadva" NA NA NA NA
"13" "24.5" "40" "1" " 10. kerület, Kobánya – Újhegy " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA
"14" "31.9" "57" "1" " 8. kerület, Szigetvári utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
