"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "79.98" "87" "3" " 9. kerület, Belso-Ferencváros " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "28.5" "46" "1" " 13. kerület, Angyalföld " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "57.48" "62" "3" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "külön és egyben is" "dél" "udvari" "9.48 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "Pápay Park" "van" "5 M Ft" NA
"4" "62.56" "72" "3" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "külön és egyben is" "északnyugat" "udvari" "5.92 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "van" "5 M Ft" NA
"5" "73.9" "114" "5" " 6. kerület, Székely Bertalan utca " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "elektromos" "igen" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"6" "59.99" "72" "3" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "külön és egyben is" "északnyugat" "udvari" "5.92 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "van" "5 M Ft" NA
"7" "55.2" "65" "3" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "nincs megadva" "külön és egyben is" "északnyugat" "udvari" "6.29 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "van" "5 M Ft" NA
"8" "60.16" "72" "3" " 9. kerület, Pápay Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "9" "van" "nincs megadva" "fan-coil, hoszivattyú" "nincs megadva" "külön és egyben is" "északnyugat" "udvari" "5.59 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "Pápay Park" "van" "5 M Ft" NA
"9" "39.9" "44" "2" " 14. kerület, Egressy út 27. " "jó állapotú" "2001-2010 között" "összkomfortos" "DD" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "udvari" "4 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" NA "42 000 Ft/hó"
"10" "79.9" "129" "3" " 9. kerület, Lónyay utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA "23 000 Ft/hó"
