"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara"
"1" "42.4" "49" "2" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "4.8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.81 M Ft"
"2" "62.8" "104" "3" " 8. kerület, Józsefváros – Népszínháznegyed " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA
"3" "162" "109" "3" " 5. kerület, Veres Pálné utca " NA "nincs megadva" "2018" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "délnyugat" "panorámás" "6.43 m²" "nincs megadva" "tetotéri" "utca, közterület - fizetos övezet" NA
"4" "136.9" "85" "2" " 5. kerület, Veres Pálné utca " NA "nincs megadva" "2018" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "délnyugat" "panorámás" "18.66 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"5" "140" "91" "3" " 5. kerület, Veres Pálné utca " NA "nincs megadva" "2018" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "dél" "panorámás" "11.9 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"6" "65.9" "80" "2" " 7. kerület, Alsó erdosor " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" NA "nem" "külön és egyben is" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"7" "113.3" "74" "2" " 5. kerület, Veres Pálné utca " NA "nincs megadva" "2018" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), nincs" "van" NA "nem" "külön helyiségben" "délnyugat" "panorámás" "7.98 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"8" "32.99" "38" "1" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "9.2 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.81 M Ft"
"9" "43.99" "49" "2" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "14.7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.81 M Ft"
"10" "54.99" "61" "3" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "20 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.81 M Ft"
"11" "50.4" "61" "3" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3.8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.8 M Ft"
"12" "34.99" "38" "1" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "2.7 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.81 M Ft"
"13" "48.99" "61" "3" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3.8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.81 M Ft"
"14" "40.99" "45" "2" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "5.4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.81 M Ft"
"15" "41.4" "45" "2" " 15. kerület, Hubay Garden " "Hubay Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "5.3 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.81 M Ft"
"16" "67" "86" "2" " 5. kerület, Hold utca " NA "felújítandó" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "24 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA
"17" "31.9" "69" "3" " 15. kerület, Rákospalota " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko), cserépkályha" "nincs" NA "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "6 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA
"18" "60" "75" "3" " 2. kerület, Budakeszi út " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "10" "van" "nincs megadva" "házközponti" NA "38 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "10 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA
"19" "43" "51" "3" " 6. kerület, Csengery utca " NA "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"20" "57.4" "68" "3" " 13. kerület, Angyalföld " NA "újszeru" "2020" "nincs megadva" "nincs megadva" "nincs megadva" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "29.67 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA
