"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "48.29" "48" "2" " 7. kerület, Külso-Erzsébetváros " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "58.5" "65" "2" " 8. kerület, Corvin köz 4. " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "35 000 Ft/hó" NA
"3" "75" "113" "4" " 8. kerület, Corvin köz 4. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "50 000 Ft/hó" NA
"4" "109.9" "102" "3" " 9. kerület, Mester utca " "felújított" NA "luxus" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "fan-coil" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA
"5" "18.5" "28" "1" " 8. kerület, Józsefváros – Orczynegyed " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA NA
"6" "89.6" "112" "4" " 8. kerület, Józsefváros – Palotanegyed " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "28.5" "49" "2" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "73.9" "76" "3" " 7. kerület, Középso-Erzsébetváros " "felújított" NA "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön és egyben is" "északkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "19 500 Ft/hó" NA
"9" "139.5" "105" "2" " 5. kerület, Kecskeméti utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "6" "6" "van" "3 m vagy magasabb" "nincs megadva" "igen" "egy helyiségben" "kelet" "panorámás" "6 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"10" "50.75" "65" "3" " 19. kerület, Bethlen Gábor utca 40. " "nincs megadva" "2019" "összkomfortos" "AA++" "6" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön helyiségben" "nincs megadva" "panorámás" "4.98 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "3.5 M Ft"
"11" "31.14" "40" "2" " 19. kerület, Bethlen Gábor utca 40. " "nincs megadva" "2019" "összkomfortos" "AA++" "5" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "egy helyiségben" "nincs megadva" "panorámás" "3.55 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "3.5 M Ft"
"12" "31.14" "40" "2" " 19. kerület, Bethlen Gábor utca 40. " "nincs megadva" "2019" "összkomfortos" "AA++" "1" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "egy helyiségben" "nincs megadva" "panorámás" "3.55 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "3.5 M Ft"
"13" "36.81" "47" "2" " 19. kerület, Bethlen Gábor utca 40. " "nincs megadva" "2019" "összkomfortos" "AA++" "3" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön helyiségben" "nincs megadva" "panorámás" "3.61 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "3.5 M Ft"
"14" "44.99" "62" "3" " 19. kerület, Bethlen Gábor utca 40. " "nincs megadva" "2019" "duplakomfortos" "AA++" "2" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön és egyben is" "nincs megadva" "panorámás" "6.52 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "3.5 M Ft"
"15" "44.99" "62" "3" " 19. kerület, Bethlen Gábor utca 40. " "nincs megadva" "2019" "duplakomfortos" "AA++" "1" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "egy helyiségben" "nincs megadva" "panorámás" "6.3 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "3.5 M Ft"
