"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "49.44" "53" "2" " 11. kerület, Kelenliget Ház " "Kelenliget Ház" "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "kelet" "nincs megadva" "12.5 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA
"2" "55.17" "63" "2" " 11. kerület, Kelenliget Ház " "Kelenliget Ház" "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "kelet" "nincs megadva" "14.41 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA
"3" "55.03" "63" "2" " 11. kerület, Kelenliget Ház " "Kelenliget Ház" "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "kelet" "nincs megadva" "14.41 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA
"4" "96.5" "90" "2" " 5. kerület, Október 6. utca " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "59.9" "80" "2" " 13. kerület, Újlipótváros " NA "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "utca, közterület" "8 800 Ft/hó" NA NA
"6" "100.13" "78" "3" " 6. kerület, Belso-Terézváros " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "89.9" "118" "5" " 9. kerület, Telepy utca " NA "felújított" "1981-2000 között" "duplakomfortos" "EE" "4" "5" "nincs" "3 m-nél alacsonyabb" "házközponti, gáz (cirko)" "nincs" "nem" "külön és egyben is" "délnyugat" "utcai" "15 m²" "nem" "zárószint" "utca, közterület - fizetos övezet" NA "nem vett részt" NA
"8" "27.99" "63" "2" " 21. kerület, II. Rákóczi Ferenc út " NA "jó állapotú" NA "komfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" "30 000 Ft/hó" "nincs megadva" NA
"9" "44.8" "65" "2" " 7. kerület, Király utca 93. " NA "felújított" "1950 elott" "összkomfortos" "AA" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA NA
"10" "66.9" "98" "3" " 8. kerület, Hock János utca " NA "felújított" NA "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
