"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "25.7" "61" "2" " 19. kerület, Kosárfonó utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"2" "69.7" "73" "3" " 6. kerület, Székely Mihály utca 12. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "5 m²" "nem" "nem tetotéri" NA "utca, közterület" "van" "33 500 Ft/hó" NA
"3" "99" "60" "2" " 5. kerület, Honvéd utca " "felújított" "1950-1980 között" "luxus" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" NA NA
"4" "51.9" "68" "2" " 6. kerület, Jókai utca 10. " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"5" "36" "54" "2" " 11. kerület, Regos utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA "20 000 Ft/hó" NA
"6" "55" "63" "2" " 13. kerület, Röppentyu utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "van" NA "4 M Ft"
"7" "20.9" "43" "1" " 10. kerület, Petroczy utca 38. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "utcai" NA "igen" "nincs megadva" NA "utca, közterület - ingyenes" "van" "25 000 Ft/hó" NA
"8" "25.2" "35" "1" " 4. kerület, Rózsa utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA
"9" "49" "60" "2" " 11. kerület, Bogdánfy utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" NA NA "utca, közterület - fizetos övezet" "van" "13 000 Ft/hó" NA
"10" "34.1" "53" "2" " 13. kerület, Rokolya utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "panorámás" NA "nem" "legfelso emelet, nem tetotéri" "nincs megadva" "udvari beálló - benne van az árban" "nincs" NA NA
"11" "42.9" "60" "3" " 8. kerület, Víg utca 20. " "jó állapotú" NA "komfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" NA NA
"12" "36.2" "42" "2" " 8. kerület, Mátyás tér " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" NA
"13" "35.2" "51" "3" " 10. kerület, Mádi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
