"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "tetoter" "epites_eve" "erkely" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "25.9" "43" "1" " 13. kerület, Béke utca 63. " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nem" "nincs megadva" NA NA NA NA NA NA NA
"2" "27.5" "29" "1" " 13. kerület, Rozsnyai utca " "felújított" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"3" "52.9" "51" "2" " 3. kerület, Kocsis Sándor út " "újszeru" "nincs megadva" "nincs megadva" "1" "3" "van" "nincs megadva" "mennyezeti hutés-futés" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "teremgarázs hely - kötelezo megvenni" "nem tetotéri" "2019" "7 m²" NA NA NA NA
"4" "95" "90" "3" " 11. kerület, Bartók Béla út 76. " "felújított" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nincs megadva" "legfelso emelet, nem tetotéri" NA "5 m²" "van" NA NA NA
"5" "21.7" "27" "1" " 10. kerület, Szárnyas utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "utca, közterület" "nem tetotéri" "1950-1980 között" "2 m²" "nincs" NA NA NA
"6" "56.4" "65" "2" " 13. kerület, Szent László út " "újszeru" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "teremgarázs hely - megvásárolható" "nem tetotéri" "2001-2010 között" "13 m²" "nincs" "3.5 M Ft" NA NA
"7" "92.9" "88" "3" " 13. kerület, Balzac utca " "felújított" "luxus" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA "van" NA NA NA
"8" "23.9" "27" "1" " 7. kerület, Dembinszky utca " "nincs megadva" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA "nincs" NA NA NA
"9" "33.3" "66" "3" " 3. kerület, Kabar utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "utcai" "nem" "utca, közterület - ingyenes" "nem tetotéri" "1950-1980 között" "4 m²" "van" NA "11 200 Ft/hó" "nem vett részt"
"10" "36.99" "48" "3" " 8. kerület, Teleki László tér 3. " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "utca, közterület - fizetos övezet" "nem tetotéri" "1950-1980 között" NA NA NA "25 000 Ft/hó" NA
"11" "47.5" "62" "2" " 9. kerület, Gát utca 17. " "közepes állapotú" "összkomfortos" "BB" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "teremgarázs hely - megvásárolható" "nem tetotéri" "2001-2010 között" "4 m²" "nincs" "4.5 M Ft" "25 000 Ft/hó" NA
"12" "27.9" "32" "1" " 16. kerület, Lándzsa utca 25. " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "elektromos, gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nem tetotéri" NA NA NA NA "30 000 Ft/hó" NA
"13" "17.7" "17" "1" " 9. kerület, Ülloi út " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA NA NA NA "15 000 Ft/hó" NA
"14" "43.5" "67" "3" " 11. kerület, Regos utca " "jó állapotú" "összkomfortos" "CC" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "utca, közterület - ingyenes" "nem tetotéri" "1981-2000 között" "5 m²" "nincs" NA NA "nem vett részt"
"15" "21.9" "48" "1" " 10. kerület, Téglaveto utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "udvari beálló" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"16" "95.9" "109" "3" " 13. kerület, Hegedus Gyula utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "utca, közterület" "nem tetotéri" "1950 elott" NA "van" NA NA NA
"17" "22.5" "24" "1" " 8. kerület, Dugonics utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA "nincs" NA NA NA
