"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "epites_eve" "parkolohely_ara" "legkondicionalo" "panelprogram" "lakopark_neve"
"1" "149" "87" "2" " 5. kerület, Reáltanoda utca " "újszeru" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"2" "31" "57" "2" " 8. kerület, Népszínház utca " "felújítandó" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "30 000 Ft/hó" NA NA NA NA NA
"3" "65.9" "89" "3" " 13. kerület, Keszkeno utca " "nincs megadva" "összkomfortos" "AA+" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "dél" "kertre nézo" "7.11 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "2019" "2.7 M Ft" NA NA NA
"4" "64.5" "94" "3" " 13. kerület, Keszkeno utca " "nincs megadva" "összkomfortos" "AA+" "földszint" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "dél" "kertre nézo" "16.6 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "2019" "2.7 M Ft" NA NA NA
"5" "36" "37" "1" " 6. kerület, Ó utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "1950 elott" NA "nincs" NA NA
"6" "28.5" "42" "1" " 8. kerület, Dobozi utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "nincs megadva" "8 000 Ft/hó" NA NA NA NA NA
"7" "38.4" "69" "2" " 21. kerület, Csikó sétány 17. " "jó állapotú" "összkomfortos" "CC" "2" "5" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "40 000 Ft/hó" "1981-2000 között" NA NA "nincs megadva" NA
"8" "28.9" "69" "2" " 18. kerület, Nyárfás sor " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "3 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "1981-2000 között" NA NA "részt vett" NA
"9" "67.99" "110" "4" " 8. kerület, József körút " "felújított" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" NA NA NA NA
"10" "43.7" "60" "3" " 13. kerület, Béke tér " "nincs megadva" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "13.82 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "2018" NA NA NA NA
"11" "55.9" "73" "3" " 13. kerület, Béke tér " "nincs megadva" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "68.5 m²" "nem" "nem tetotéri" "nincs megadva" NA "2018" NA NA NA NA
"12" "118" "103" "3" " 1. kerület, Hattyú utca 16. " "felújított" "luxus" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "északkelet" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "21 000 Ft/hó" "1950 elott" NA "van" NA NA
"13" "53.9" "81" "2" " 8. kerület, Corvin köz " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "teremgarázs hely - bérelheto" NA "1950 elott" "20 000 Ft/hó" "nincs" NA NA
"14" "32.5" "56" "1" " 14. kerület, Nagyzugló " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "egyéb" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" "1950 elott" NA NA NA NA
"15" "38" "50" "2" " 22. kerület, Névtelen utca " "felújított" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "távfutés, házközponti" "nem" "külön helyiségben" "kelet" "panorámás" "1 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "1981-2000 között" NA "van" "nincs megadva" NA
"16" "61.16" "60" "3" " 13. kerület, Kassák Residence " "új építésu" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "46.4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "2019" NA NA NA "Kassák Residence"
"17" "85" "96" "3" " 7. kerület, Rákóczi út " "felújított" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950 elott" NA NA NA NA
"18" "240" "176" "3" " 5. kerület, Váci utca " "felújított" "luxus" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "40 000 Ft/hó" NA NA "van" NA NA
"19" "89.5" "77" "2" " 5. kerület, Belváros " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "1950 elott" NA NA NA NA
"20" "32.9" "44" "1" " 7. kerület, Jósika utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
