"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "24.3" "65" "2" " 10. kerület, Harmat utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko), cserépkályha" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "44.49" "64" "3" " 20. kerület, Madison Park " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "Madison Park" "4.4 m²" "2.5 M Ft" NA NA
"3" "76.9" "111" "4" " 6. kerület, Külso-Terézváros " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "158.2" "122" "4" " 12. kerület, Stromfeld Aurél út 43. " "újszeru" "2019" "luxus" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA "16 m²" "6 M Ft" NA NA
"5" "72.8" "52" "1" " 5. kerület, Alkotmány utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "házközponti" "van" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"6" "61.5" "86" "3" " 6. kerület, Vasvári Pál utca " "újszeru" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "15 000 Ft/hó" NA
"7" "59.9" "78" "3" " 8. kerület, Práter utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "68" "108" "3" " 6. kerület, Bajza utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA NA "17 000 Ft/hó" NA
"9" "92.9" "133" "4" " 6. kerület, Bajcsy-Zsilinszky út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA NA
"10" "56.9" "99" "3" " 8. kerület, Práter utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"11" "114.16" "98" "3" " 9. kerület, Vágóhíd utca " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "62 m²" NA NA NA
"12" "139" "265" "5" " 11. kerület, Hosszúrét " "újszeru" NA "luxus" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA "200 m²" NA NA NA
"13" "56.9" "56" "2" " 13. kerület, Hegedus Gyula utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely" NA "12 m²" NA NA NA
"14" "73" "74" "2" " 7. kerület, Síp utca " "nincs megadva" "2001-2010 között" "összkomfortos" "AA+" "3" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "30 000 Ft/hó" NA
"15" "29" "58" "2" " 21. kerület, Kossuth Lajos utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" NA NA NA "30 000 Ft/hó" "nincs megadva"
