"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"1" "172" "107" "3" " 2. kerület, Guyon Richárd utca 1. " "újszeru" "2018" "luxus" "AA++" "2" "3" "van" "nincs megadva" "hoszivattyú, mennyezeti hutés-futés" "van" "igen" "külön és egyben is" "délnyugat" "panorámás" "50 m²" "nem" "penthouse" "teremgarázs hely - megvásárolható" "5 M Ft" NA
"2" "175" "206" "6" " 2. kerület, Bimbó út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "dél" "panorámás" "51 m²" "igen" "zárószint" "önálló garázs - megvásárolható" "3 M Ft" "50 000 Ft/hó"
"3" "225" "191" "4" " 11. kerület, Nádorliget utca " "felújított" "2001-2010 között" "összkomfortos" "BB" "7" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön és egyben is" "délkelet" "panorámás" "224 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA "50 000 Ft/hó"
"4" "89.5" "139" "5" " 12. kerület, Városmajor utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"5" "160.24" "102" "4" " 7. kerület, Rákóczi út 12. " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "50 000 Ft/hó"
"6" "80.46" "52" "2" " 7. kerület, Rákóczi út 12. " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "30 000 Ft/hó"
"7" "60.89" "60" "2" " 6. kerület, Nagymezo utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "10 000 Ft/hó"
"8" "135" "193" "3" " 2. kerület, Frankel Leó út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "kelet" "panorámás" "5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"9" "180" "140" "5" " 5. kerület, Ferenciek tere " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"10" "83" "86" "4" " 3. kerület, Pusztakúti út " "nincs megadva" "2018" "duplakomfortos" "AA" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "17 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
