"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "lakopark_neve" "parkolohely_ara" "rezsikoltseg"
"1" "42.9" "73" "2" " 8. kerület, Teleki László tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "északnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "180.27" "81" "2" " 5. kerület, Lipótváros " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"3" "288.77" "135" "4" " 5. kerület, Lipótváros " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"4" "390.59" "157" "3" " 5. kerület, Lipótváros " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"5" "110" "138" "5" " 13. kerület, Kresz Géza utca " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "6" "6" "van" "3 m vagy magasabb" "házközponti, gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "panorámás" NA "nincs megadva" "tetotéri" "utca, közterület - ingyenes" "van" NA NA NA
"6" "140" "80" "2" " 6. kerület, Andrássy út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "fan-coil" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "109.44" "106" "5" " 11. kerület, Sasad Liget VI. ütem " "új építésu" "2018" "luxus" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "kelet" "nincs megadva" "22.31 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" "Sasad Liget VI. ütem" NA NA
"8" "2.1" "2086" "1" " 6. kerület, Andrássy út " "újszeru" "2016" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"9" "162.15" "159" "4" " 13. kerület, Párkány utca " "újszeru" "2014" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "79 m²" "nincs megadva" "penthouse" "teremgarázs hely" "van" NA NA NA
"10" "93.9" "56" "2" " 12. kerület, Németvölgyi Residence " "új építésu" "2018" "luxus" "nincs megadva" "1" "4" "van" "nincs megadva" "mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs" "Németvölgyi Residence" "5.5 M Ft" NA
"11" "93.9" "59" "2" " 12. kerület, Németvölgyi Residence " "új építésu" "2018" "luxus" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "12.31 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "Németvölgyi Residence" "5.5 M Ft" NA
