"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "epites_eve" "rezsikoltseg" "lakopark_neve" "erkely" "parkolohely_ara" "panelprogram"
"1" "109.9" "92" "2" " 5. kerület, Belváros " "felújított" "nincs megadva" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"2" "61" "89" "2" " 2. kerület, Bimbó út " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA NA NA
"3" "90" "142" "3" " 6. kerület, Paulay Ede utca " "felújítandó" "félkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "nincs, gázkazán" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "tetotéri" "utca, közterület" "nincs" "1950 elott" "48 Ft/hó" NA NA NA NA
"4" "70.1" "95" "4" " 11. kerület, Elite Park " "új építésu" "összkomfortos" "CC" "2" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "északkelet" "utcai" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs" "2020" NA "Elite Park" "9.54 m²" "3.9 M Ft" NA
"5" "37" "61" "2" " 7. kerület, Thököly út " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északnyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA NA NA
"6" "26" "50" "2" " 8. kerület, Diószegi Sámuel utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA NA NA
"7" "47.9" "94" "3" " 8. kerület, Baross utca " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA NA NA
"8" "76.7" "75" "2" " 12. kerület, Csaba utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA NA
"9" "13" "54" "2" " 3. kerület, Kaszásdulo – Filatorigát " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA "4 m²" NA "nincs megadva"
"10" "98" "80" "2" " 9. kerület, Ráday utca " "felújított" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA NA "2 m²" NA NA
"11" "299" "195" "4" " 9. kerület, Lechner Ödön fasor " "nincs megadva" "luxus" "nincs megadva" "9" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA "155 m²" NA NA
"12" "1.34" "865" "13" " 1. kerület, Szabó Ilonka utca " "felújított" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "fan-coil" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA NA NA NA
"13" "203" "203" "3" " 6. kerület, Andrássy út " "újszeru" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nyugat" "utcai" "nem" "penthouse" "utca, közterület - fizetos övezet" "van" NA NA NA "14 m²" NA NA
"14" "214" "214" "3" " 6. kerület, Andrássy út " "újszeru" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nyugat" "utcai" "nem" "penthouse" "utca, közterület - ingyenes" "van" NA NA NA "13 m²" NA NA
"15" "120" "97" "2" " 5. kerület, Szép utca 3. " "jó állapotú" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "külön és egyben is" "kelet" "panorámás" "nem" "nem tetotéri" "nincs megadva" "nincs" NA NA NA "18.7 m²" NA NA
"16" "37.2" "93" "3" " 8. kerület, Józsefváros – Népszínháznegyed " "felújítandó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"17" "49.99" "51" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "nincs megadva" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" NA "2019" NA NA NA "3.25 M Ft" NA
"18" "69.99" "72" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "nincs megadva" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" NA "2019" NA NA "9 m²" "4.25 M Ft" NA
"19" "28" "57" "2" " 8. kerület, Népszínház utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA NA NA
"20" "95" "145" "5" " 6. kerület, Vörösmarty utca " "felújított" "luxus" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA NA NA
