"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara" "rezsikoltseg"
"1" "37" "62" "2" " 14. kerület, Nagy Lajos király útja " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "házközponti" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"2" "43.9" "37" "1" " 3. kerület, Uszály utca " "felújított" NA "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "2 m²" NA NA
"3" "64.8" "87" "3" " 3. kerület, Selmeci utca " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "udvari beálló - kötelezo megvenni" NA "2 M Ft" NA
"4" "25.9" "27" "1" " 7. kerület, Péterfy Sándor utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"5" "26.9" "29" "1" " 13. kerület, Rozsnyai utca " "felújított" "1950-1980 között" "nincs megadva" "A" "földszint" "2" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"6" "58" "98" "2" " 14. kerület, Bosnyák utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" NA "utca, közterület" "5 m²" NA "12 Ft/hó"
"7" "45.5" "45" "1" " 14. kerület, Kövér Lajos utca " "újszeru" "2017" "összkomfortos" "nincs megadva" "6" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nem" "tetotéri" NA "udvari beálló - megvásárolható" "24 m²" NA NA
"8" "46.9" "54" "2" " 7. kerület, Rózsa utca " "felújított" NA "összkomfortos" "A" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA "30 000 Ft/hó"
"9" "38" "51" "2" " 13. kerület, Röppentyu utca " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "1" "7" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" NA "utca, közterület" NA NA NA
"10" "24.95" "52" "1" " 10. kerület, Vörösdinka utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "A+" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes" "4 m²" NA "14 800 Ft/hó"
"11" "41" "58" "2" " 13. kerület, Párkány utca 14. " "felújított" NA "összkomfortos" "D" "10" "10" "van" "nincs megadva" "távfutés" NA "nem" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA NA
"12" "29.9" "30" "1" " 7. kerület, Dob utca 87. " "felújított" NA "összkomfortos" "AA+" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "6 000 Ft/hó"
"13" "85" "80" "3" " 11. kerület, Eper utca " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "padlófutés" "nincs" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" NA "önálló garázs - megvásárolható" "20 m²" "3.5 M Ft" NA
"14" "98" "112" "3" " 13. kerület, Pannónia utca 8. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"15" "17.9" "32" "1" " 20. kerület, Szent Imre herceg utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "van" "nem" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA
