"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "44.9" "60" "2" " 4. kerület, Fiumei út 18B " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "28.4" "71" "3" " 4. kerület, Rózsa utca 3. " "felújítandó" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" "4 m²" "nem vett részt" NA NA
"3" "28.9" "42" "1" " 10. kerület, Somfa köz " "újszeru" "komfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "tetotéri" "nincs megadva" "1950-1980 között" "van" NA NA "7 380 Ft/hó" NA
"4" "22.8" "22" "1" " 13. kerület, Országbíró utca " "felújított" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "egyéb, gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "zárószint" "udvari beálló - benne van az árban" NA "van" NA NA "25 000 Ft/hó" NA
"5" "24.6" "35" "1" " 15. kerület, Késmárk utca " "felújított" "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA "nincs megadva" NA NA
"6" "67.9" "61" "2" " 9. kerület, Lenhossék utca " "újszeru" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "41 m²" NA NA "6 M Ft"
"7" "23.4" "35" "1" " 4. kerület, Árpád út 179. " "közepes állapotú" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs megadva" NA NA
"8" "31" "55" "2" " 18. kerület, Kézmuves utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "van" "3 m²" NA "28 000 Ft/hó" NA
"9" "28.4" "66" "2" " 20. kerület, Topánka utca " "közepes állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "7 m²" "nem vett részt" "30 000 Ft/hó" NA
"10" "42.9" "56" "3" " 7. kerület, Damjanich utca 32. " "felújított" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
