"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram" "lakopark_neve" "legkondicionalo"
"1" "54.3" "83" "3" " 6. kerület, Bajnok utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "18.7" "20" "1" " 7. kerület, Marek József utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "33.3" "74" "2" " 4. kerület, Újpest-Központ " "jó állapotú" "1950 elott" "összkomfortos" "HH" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "kelet" "udvari" "igen" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"4" "46.5" "53" "2" " 3. kerület, Óbuda – Filatorigát " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "7 m²" NA NA NA NA
"5" "145.19" "137" "4" " 3. kerület, Harsánylejto " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "20 m²" "4 M Ft" NA NA NA
"6" "32.3" "72" "3" " 4. kerület, Lebstück Mária utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "3 m²" NA "nincs megadva" NA NA
"7" "41" "50" "2" " 13. kerület, Tahi utca 76. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "44.9" "53" "2" " 16. kerület, Hársfaliget Lakópark " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "önálló garázs - kötelezo megvenni" "6.23 m²" "3 M Ft" NA "Hársfaliget Lakópark" "van"
"9" "28.2" "39" "1" " 9. kerület, Pöttyös utca " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA "nincs"
"10" "24.89" "56" "2" " 21. kerület, Csepel-Belváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA "nincs megadva" NA NA
