"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram" "lakopark_neve"
"1" "33.6" "41" "2" " 8. kerület, Fecske utca 7. " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, hoszivattyú" "igen" "nincs megadva" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA NA NA NA
"2" "31.4" "42" "2" " 8. kerület, Fecske utca 7. " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, hoszivattyú" "igen" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3 m²" NA NA NA NA NA
"3" "127" "103" "3" " 12. kerület, Istenhegy " "felújított" NA "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "4 m²" "van" "6 M Ft" NA NA NA
"4" "119.9" "143" "3" " 6. kerület, Paulay Ede utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"5" "66.7" "85" "4" " 14. kerület, Ilka utca 3. " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4 m²" NA "3.95 M Ft" NA NA NA
"6" "48.9" "50" "2" " 5. kerület, Honvéd tér " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "7" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"7" "89" "123" "4" " 6. kerület, Németh László utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"8" "49.9" "97" "2" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1.5 m²" "van" NA NA NA NA
"9" "20.9" "35" "1" " 21. kerület, Csepel-Királymajor " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs" NA "25 000 Ft/hó" "nem vett részt" NA
"10" "63.8" "72" "2" " 1. kerület, Attila út " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "22 000 Ft/hó" NA NA
"11" "69" "62" "2" " 3. kerület, Nánási út 37. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" "igen" "külön és egyben is" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "28 m²" "van" "6 M Ft" NA NA NA
"12" "78.45" "71" "2" " 6. kerület, Andrássy út " "jó állapotú" NA "komfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"13" "41.9" "50" "2" " 16. kerület, Hársfaliget Lakópark " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - kötelezo megvenni" "12 m²" "nincs" "1 M Ft" NA NA "Hársfaliget Lakópark"
"14" "159" "114" "3" " 3. kerület, Miléva Ház " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "mennyezeti hutés-futés, megújuló energia" "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "24.74 m²" NA "5 M Ft" NA NA "Miléva Ház"
"15" "119.9" "94" "3" " 1. kerület, Márvány 20 Residences " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "7.9 m²" "van" "6 M Ft" NA NA "Márvány 20 Residences"
"16" "33.26" "33" "1" " 3. kerület, Óbuda-Óváros " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "4 m²" "van" NA NA NA NA
"17" "83.2" "103" "4" " 8. kerület, Józsefváros – Csarnoknegyed " "új építésu" "2018" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "50 m²" NA NA NA NA NA
