"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "epites_eve" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "31.99" "50" "2" " 3. kerület, Boglár utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "34.9" "41" "2" " 12. kerület, Kléh István utca 6. " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület" "nincs" NA NA NA NA
"3" "31.8" "43" "1" " 4. kerület, Chinoin utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "zárószint" NA "utca, közterület - ingyenes" "nincs" "2001-2010 között" NA NA NA
"4" "49.9" "103" "3" " 8. kerület, Tavaszmezo utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"5" "23.9" "29" "1" " 8. kerület, József körút " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "1950 elott" "20 000 Ft/hó" NA NA
"6" "50" "63" "1" " 13. kerület, Újlipótváros " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" NA NA NA
"7" "14.9" "27" "1" " 4. kerület, Újpest " "felújított" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" NA "utca, közterület - ingyenes" NA "1950-1980 között" "15 000 Ft/hó" NA NA
"8" "71.9" "73" "4" " 13. kerület, Angyalföld " "új építésu" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "2019" NA "45.29 m²" "3 M Ft"
"9" "26.9" "46" "1" " 11. kerület, Fejér Lipót utca " "közepes állapotú" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" NA NA "nincs megadva" NA "1950-1980 között" NA "4 m²" NA
"10" "28.9" "38" "1" " 8. kerület, Bláthy Ottó utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" NA NA NA
