"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "92.9" "138" "3" " 2. kerület, Hunyadi János utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "dél" "kertre nézo" "26 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA NA
"2" "29.5" "30" "1" " 2. kerület, Országút " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "76.62" "83" "3" " 3. kerület, Forest Hill Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "délnyugat" "kertre nézo" "36 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "Forest Hill Lakópark" "4.5 M Ft" NA NA
"4" "27.8" "41" "1" " 8. kerület, Gutenberg tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "7" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"5" "29.9" "65" "2" " 10. kerület, Harmat utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "3.5 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"6" "105.9" "66" "2" " 12. kerület, Németvölgy " "új építésu" "2019" "luxus" "A+" "1" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" "nem" "külön helyiségben" "északnyugat" "kertre nézo" "16 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA
"7" "28" "25" "1" " 8. kerület, Kerepesi út 1. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"8" "74.9" "92" "3" " 9. kerület, Ráday utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "kelet" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "31.9" "37" "1" " 13. kerület, Reitter Ferenc utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "2" "van" "nincs megadva" "gáz (konvektor), elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"10" "46.5" "58" "3" " 3. kerület, Kolosy tér " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
