"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "124" "92" "3" " 13. kerület, Jászai Mari tér " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "dél" "panorámás" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "22.5" "29" "1" " 14. kerület, Alsórákos " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "25 000 Ft/hó" NA NA
"3" "39.9" "43" "2" " 13. kerület, Kis Gömb utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "6 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "2.6 M Ft" NA
"4" "20.5" "39" "2" " 10. kerület, Salgótarjáni utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"5" "34.5" "53" "2" " 12. kerület, Istenhegyi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön és egyben is" "dél" "kertre nézo" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" "25 000 Ft/hó" NA NA
"6" "20.9" "35" "1" " 21. kerület, Csepel-Belváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva"
"7" "136.87" "130" "5" " 3. kerület, Óbuda-Óváros " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "22.4 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "4.5 M Ft" NA
"8" "68.3" "106" "4" " 11. kerület, Kelenföld " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "elektromos" NA "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "3 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"9" "35" "60" "2" " 12. kerület, Krisztinaváros " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nem" "tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"10" "25.7" "59" "2" " 19. kerület, Kispesti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "40 000 Ft/hó" NA "részt vett"
"11" "42.5" "56" "2" " 12. kerület, Márvány utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nem" "nincs megadva" "nincs megadva" "15 000 Ft/hó" NA NA
"12" "28.5" "57" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "7 m²" "nem" NA "utca, közterület - ingyenes" "30 000 Ft/hó" NA NA
"13" "29.9" "46" "2" " 13. kerület, Vizafogó " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "egy helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs megadva"
"14" "79.9" "83" "3" " 14. kerület, Bazsarózsa utca " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "van" "nem" "külön helyiségben" "délkelet" "panorámás" "10 m²" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" NA "3 M Ft" NA
"15" "74.5" "70" "3" " 6. kerület, Szondi utca 70. " "újszeru" "2017" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "8.6 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "7 M Ft" NA
"16" "64.5" "107" "3" " 11. kerület, Villányi út " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
