"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "79.9" "97" "2" " 2. kerület, Káplár utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti" "nincs" "22 000 Ft/hó" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "33.9" "40" "2" " 14. kerület, Törökor utca " "felújított" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "kelet" "udvari" "igen" "nincs megadva" "utca, közterület" NA NA NA NA NA
"3" "104.14" "81" "3" " 11. kerület, Lépés utca " "új építésu" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nem" "nincs megadva" "délnyugat" "panorámás" "igen" "nem tetotéri" "önálló garázs - megvásárolható" "2020" "44 m²" NA NA NA
"4" "77.9" "79" "3" " 13. kerület, Visegrádi utca " "újszeru" "összkomfortos" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "30 000 Ft/hó" "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" "6 m²" NA NA NA
"5" "169" "116" "3" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "duplakomfortos" "GG" "1" "3" "van" "3 m vagy magasabb" "hoszivattyú, padlófutés" "van" NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"6" "33.5" "74" "2" " 4. kerület, Újpest-Központ " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "kelet" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA NA NA NA
"7" "29.9" "53" "2" " 4. kerület, Újpest " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "3 m²" "nem vett részt" NA NA
"8" "99.9" "95" "4" " 2. kerület, Huvösvölgyi út 151A " "újszeru" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "66 m²" NA "6 M Ft" NA
"9" "36.9" "43" "1" " 14. kerület, Szonyi út " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" "5 m²" NA NA NA
"10" "32.87" "50" "1" " 3. kerület, Csillaghegy " "közepes állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA NA
