"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "23.49" "46" "1" " 8. kerület, Magdolna utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "dél" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "39.8" "55" "2" " 3. kerület, Óbuda-Óváros " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "59.9" "92" "3" " 8. kerület, Bacsó Béla utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "25.29" "36" "1" " 10. kerület, Gyárdulo " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" "udvari beálló - bérelheto" NA NA NA NA
"5" "127.2" "144" "5" " 11. kerület, Madárhegy " "nincs megadva" NA "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "40 m²" "4 M Ft" NA NA
"6" "26" "59" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "26 000 Ft/hó" "nincs megadva"
"7" "57.2" "83" "3" " 14. kerület, Hungária körút " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" "2 m²" NA "45 000 Ft/hó" NA
"8" "29.9" "52" "2" " 21. kerület, Kossuth Lajos utca " "felújított" NA "összkomfortos" "DD" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" NA "30 000 Ft/hó" "nem vett részt"
"9" "57.9" "46" "2" " 13. kerület, Pannónia utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA NA
"10" "101" "113" "4" " 11. kerület, Madárhegy " "új építésu" "2019" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "teremgarázs hely" "31 m²" NA NA NA
"11" "31.4" "71" "2" " 4. kerület, Závodszky Zoltán utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA "40 000 Ft/hó" "nem vett részt"
"12" "104" "182" "5" " 11. kerület, Bertalan Lajos utca " "felújítandó" NA "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"13" "60" "79" "4" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"14" "74.9" "105" "3" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" "5 m²" NA NA NA
"15" "47.5" "53" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"16" "44.9" "63" "3" " 13. kerület, Angyalföld " "új építésu" "2019" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA
"17" "96.5" "104" "3" " 12. kerület, Németvölgy " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "4.2 m²" NA NA NA
"18" "60.9" "60" "4" " 7. kerület, Erzsébet körút " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "46.5" "55" "2" " 11. kerület, Lágymányosi lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "3 m²" NA NA NA
"20" "23.5" "46" "2" " 18. kerület, Szent Lorinc-lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "részt vett"
