"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "77.3" "88" "3" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "47" "48" "1" " 1. kerület, Attila út 31. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "egy helyiségben" "dél" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "25 000 Ft/hó" NA NA NA
"3" "42" "100" "3" " 19. kerület, Vécsey utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "dél" "utcai" "8 m²" "nem" "zárószint" "utca, közterület - ingyenes" NA NA NA NA
"4" "33.9" "51" "2" " 14. kerület, Gizella út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" NA NA NA NA
"5" "32.9" "60" "2" " 9. kerület, József Attila-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "részt vett" NA NA
"6" "139.49" "157" "6" " 8. kerület, Baross utca 86. " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "elektromos" "van" "igen" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "27 000 Ft/hó" NA NA NA
"7" "28.9" "45" "2" " 19. kerület, Corvin körút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "34.99" "31" "1" " 13. kerület, Petneházy utca 68. " "új építésu" "2018" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "északkelet" "udvari" "31.15 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4.25 M Ft" NA
"9" "51" "63" "3" " 6. kerület, Lovag utca " "jó állapotú" NA "komfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "64" "93" "4" " 16. kerület, Cserhida utca 21. " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "hoszivattyú" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "20 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"11" "49.99" "45" "2" " 13. kerület, Petneházy utca 68. " "új építésu" "2018" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "északkelet" "udvari" "11 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4.25 M Ft" NA
"12" "67.9" "108" "3" " 4. kerület, K74 " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "nem" "nincs megadva" "udvari beálló - megvásárolható" NA NA "2 M Ft" "K74"
"13" "48.6" "86" "3" " 4. kerület, K74 " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.72 m²" "nem" "nincs megadva" "udvari beálló - megvásárolható" NA NA "2 M Ft" "K74"
"14" "69.99" "72" "3" " 13. kerület, Petneházy utca 68. " "új építésu" "2018" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "külön helyiségben" "északkelet" "udvari" "10 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4.25 M Ft" NA
"15" "59.99" "55" "3" " 13. kerület, Petneházy utca 68. " "új építésu" "2018" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" "igen" "külön helyiségben" "délnyugat" "udvari" "13 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4.25 M Ft" NA
"16" "42.8" "45" "1" " 7. kerület, Almássy tér " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" "20 000 Ft/hó" NA NA NA
"17" "31.9" "50" "2" " 17. kerület, Rákoskeresztúr – Pesti úti lakópark " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "7 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"18" "66.4" "78" "3" " 1. kerület, Krisztinaváros – Váralja " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "23 000 Ft/hó" NA NA NA
"19" "72" "96" "4" " 1. kerület, Víziváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "58.99" "66" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délkelet" "panorámás" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "14 000 Ft/hó" NA NA NA
