"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "epites_eve" "legkondicionalo" "parkolohely_ara"
"1" "33.5" "58" "2" " 16. kerület, Orsika tér " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "2 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"2" "41.5" "53" "2" " 14. kerület, Bácskai utca " "felújítandó" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "2 m²" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA NA
"3" "51.5" "55" "2" " 12. kerület, Nárcisz utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "2 m²" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA NA
"4" "26.9" "50" "1" " 18. kerület, Igaz utca " "felújítandó" "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "2 m²" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA NA
"5" "69.9" "61" "3" " 11. kerület, Kelenhegyi út 45. " "felújítandó" "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nem" "nem tetotéri" NA "teremgarázs hely - benne van az árban" NA NA NA NA
"6" "44.9" "95" "2" " 8. kerület, Baross utca 98. " "felújítandó" "komfortos" "nincs megadva" "4" "6" "nincs megadva" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"7" "42.9" "55" "2" " 8. kerület, Luther utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nem" NA NA "utca, közterület - fizetos övezet" NA NA NA NA
"8" "34.9" "41" "1" " 12. kerület, Kléh István utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"9" "27.9" "32" "1" " 7. kerület, Marek József utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"10" "39.99" "47" "2" " 7. kerület, Csengery utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "25 000 Ft/hó" NA NA NA
"11" "116.9" "122" "3" " 3. kerület, Harsánylejto " "nincs megadva" "luxus" "AA++" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "12 m²" "igen" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" NA "2019" "van" "3.6 M Ft"
"12" "159.9" "130" "4" " 6. kerület, Liszt Ferenc tér 2. " "felújított" "nincs megadva" "nincs megadva" "4" "4" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nincs megadva" NA "utca, közterület" "18 000 Ft/hó" NA "van" NA
"13" "33.5" "45" "1" " 17. kerület, Hegyalatti utca 6. " "újszeru" "komfortos" "BB" "3" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" "25 000 Ft/hó" "2001-2010 között" "van" NA
"14" "42.99" "59" "2" " 8. kerület, Luther utca " "felújított" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "12 000 Ft/hó" "1950 elott" "van" NA
