"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "66.45" "65" "2" " 3. kerület, Bécsi út " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "kelet" "utcai" "8 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA
"2" "59.9" "100" "4" " 14. kerület, Törökor " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "észak" "kertre nézo" "6 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA
"3" "26.5" "59" "2" " 10. kerület, Gergely utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "54.9" "68" "2" " 17. kerület, Rákoskeresztúr " "nincs megadva" "2018" "összkomfortos" "AA++" "1" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "36 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2.95 M Ft" NA NA
"5" "68.9" "72" "3" " 7. kerület, Rózsák tere " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"6" "59" "75" "2" " 9. kerület, Páva utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "16 000 Ft/hó" NA
"7" "32" "51" "1" " 22. kerület, Nagytétényi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"8" "26.5" "41" "1" " 8. kerület, Kálvária tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"9" "45.9" "72" "2" " 7. kerület, Dózsa György út " "jó állapotú" NA "komfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA "35 000 Ft/hó" NA
"10" "69" "73" "3" " 6. kerület, Eötvös utca " "felújított" NA "duplakomfortos" "nincs megadva" "félemelet" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"11" "69" "75" "2" " 6. kerület, Paulay Ede utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "22 000 Ft/hó" NA
"12" "115.5" "123" "3" " 12. kerület, Csorna utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "12 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "42.9" "68" "3" " 14. kerület, Alsórákos " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "10 m²" "igen" "nem tetotéri" "nincs megadva" NA "12 000 Ft/hó" NA
"14" "139" "117" "3" " 11. kerület, Ménesi út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "12 m²" "nincs megadva" "nem tetotéri" "önálló garázs" NA NA NA
"15" "54.9" "50" "2" " 14. kerület, Istvánmezo " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délkelet" "panorámás" "8 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "15 000 Ft/hó" NA
"16" "54.9" "58" "2" " 7. kerület, Dembinszky utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "62.5" "35" "2" " 3. kerület, Mátyáshegy " "új építésu" "2019" "nincs megadva" "nincs megadva" "2" "2" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "panorámás" "42 m²" "nem" "tetotéri" "teremgarázs hely - megvásárolható" "2.5 M Ft" NA NA
