"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "69.39" "79" "3" " 3. kerület, Forest Hill Lakópark " "Forest Hill Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "udvari" "16.14 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA NA
"2" "43.63" "45" "2" " 7. kerület, Középso-Erzsébetváros " NA "nincs megadva" "2019" "luxus" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "fan-coil" "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA
"3" "84" "95" "4" " 8. kerület, Vas utca " NA "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"4" "135" "112" "3" " 8. kerület, József körút " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA
"5" "47.49" "70" "3" " 3. kerület, Pacsirtamezo utca " NA "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "külön helyiségben" "nyugat" "utcai" "2 m²" "igen" "nem tetotéri" "önálló garázs - bérelheto" NA "van" NA NA
"6" "37.5" "51" "2" " 13. kerület, Karikás Frigyes utca 13. " NA "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "8 000 Ft/hó" NA
"7" "105.5" "80" "4" " 3. kerület, Harsánylejto " NA "új építésu" "2020" "luxus" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "külön és egyben is" "északkelet" "panorámás" "56 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA NA
"8" "54.9" "83" "3" " 6. kerület, Bajnok utca " NA "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"9" "54.39" "81" "4" " 10. kerület, Fogadó utca 1/a " NA "új építésu" "2020" "összkomfortos" "CC" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "utcai" "9.41 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.49 M Ft" "nincs" NA NA
"10" "87" "117" "3" " 9. kerület, Lónyay utca " NA "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "3 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA
"11" "21.9" "36" "1" " 10. kerület, Kobánya – Újhegyi lakótelep " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "9 000 Ft/hó" "részt vett"
"12" "94.9" "119" "3" " 9. kerület, Dandár utca " NA "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "van" "50 000 Ft/hó" NA
"13" "31.5" "53" "2" " 10. kerület, Gépmadár utca " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "3.8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA "nincs megadva"
"14" "79" "115" "4" " 16. kerület, Rákosszentmihály " NA "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "elektromos, egyéb" "nem" "külön és egyben is" "nyugat" "kertre nézo" "40 m²" "igen" "nincs megadva" "önálló garázs" NA "van" NA NA
"15" "51.9" "107" "4" " 18. kerület, Kétújfalu utca " NA "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "4 m²" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" NA "nincs" "20 000 Ft/hó" NA
"16" "83" "100" "3" " 11. kerület, Petzvál József utca " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "panorámás" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" "27 000 Ft/hó" NA
"17" "36.9" "80" "3" " 8. kerület, II. János Pál pápa tér 12. " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "5" "nincs" "nincs megadva" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "van" "20 000 Ft/hó" NA
"18" "37.5" "50" "2" " 6. kerület, Lovag utca " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"19" "45.66" "70" "3" " 4. kerület, Újpest " NA "nincs megadva" "2020" "összkomfortos" "AA+" "2" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "8.34 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "2.5 M Ft" "van" NA NA
"20" "119.9" "129" "4" " 14. kerület, Alsórákos " NA "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "3.8 M Ft" "van" NA NA
