"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "parkolohely_ara" "panelprogram" "lakopark_neve" "rezsikoltseg"
"1" "95.45" "83" "2" " 5. kerület, Bécsi utca " "felújított" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"2" "41.5" "43" "1" " 5. kerület, Bajcsy-Zsilinszky út " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "elektromos" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"3" "59.6" "70" "3" " 13. kerület, Csángó utca 21/b " "új építésu" "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön és egyben is" "északkelet" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2020" "8 m²" "2.9 M Ft" NA NA NA
"4" "70.4" "76" "3" " 13. kerület, Csángó utca 21/b " "új építésu" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2020" "8 m²" "2.9 M Ft" NA NA NA
"5" "55.9" "71" "3" " 3. kerület, Csillaghegy " "nincs megadva" "nincs megadva" "AA+" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" NA "igen" "nincs megadva" "északnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2018" "17.75 m²" NA NA NA NA
"6" "33.7" "29" "1" " 13. kerület, Loportár utca 14. " "újszeru" "nincs megadva" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2019" "5.6 m²" NA NA NA NA
"7" "47.9" "77" "3" " 7. kerület, Külso-Erzsébetváros " "felújítandó" "duplakomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"8" "24.7" "30" "1" " 3. kerület, Óbuda-Óváros " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"9" "24.6" "49" "2" " 3. kerület, Boglár utca " "felújítandó" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" "4 m²" NA "nincs megadva" NA NA
"10" "65.2" "70" "3" " 3. kerület, Fagyöngy Lakópark " "új építésu" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "10.46 m²" "5.4 M Ft" NA "Fagyöngy Lakópark" NA
"11" "54.9" "73" "3" " 7. kerület, Nefelejcs utca " "felújított" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"12" "52" "76" "2" " 11. kerület, Bartók Béla út " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"13" "79.9" "102" "3" " 2. kerület, Pengo köz " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "házközponti" "nincs" "nem" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"14" "149.99" "79" "3" " 3. kerület, Erdoalja út 85. " "nincs megadva" "luxus" "AA+" "2" "4" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "126 m²" "5.44 M Ft" NA NA NA
