"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "109" "102" "3" " 2. kerület, Keleti Károly utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "dél" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "49.9" "71" "3" " 22. kerület, Budatétény – Erdodulo " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" "8.6 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "30 000 Ft/hó" NA NA
"3" "19.9" "30" "1" " 15. kerület, Pestújhely " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "délnyugat" "utcai" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"4" "61.5" "85" "3" " 22. kerület, Budatétény " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "20 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"5" "26.9" "42" "2" " 13. kerület, Zsilip utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "25 000 Ft/hó" NA NA
"6" "36.9" "63" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "dél" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "23.8" "59" "2" " 19. kerület, Kispesti lakótelep " "felújítandó" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nem vett részt" NA
"8" "68.2" "87" "2" " 11. kerület, Móricz Zsigmond körtér " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "50 000 Ft/hó" NA NA
"9" "171.59" "106" "4" " 6. kerület, Belso-Terézváros " "új építésu" "2019" "luxus" "AA+" "5" "6" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "34 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "45.55" "50" "3" " 3. kerület, Hatvany Lajos utca " "új építésu" "2020" "összkomfortos" "AA+" "nincs megadva" "5" "van" "nincs megadva" "hoszivattyú" NA "nincs megadva" "külön helyiségben" "északkelet" "nincs megadva" "10 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA
"11" "49.9" "88" "2" " 8. kerület, József körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "28 000 Ft/hó" NA NA
"12" "68.9" "101" "4" " 23. kerület, Soroksár – Orbánhegy " "új építésu" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "37 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"13" "69.5" "80" "3" " 2. kerület, Bem József utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "40 000 Ft/hó" NA NA
"14" "114.89" "112" "3" " 12. kerület, Diós árok " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA
"15" "109" "59" "3" " 12. kerület, Németvölgy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "nincs" "igen" "külön és egyben is" "délkelet" "utcai" "10 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA "4.8 M Ft"
"16" "62" "43" "2" " 5. kerület, Veres Pálné utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"17" "26.99" "45" "1" " 16. kerület, Olló utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "délnyugat" "kertre nézo" "12 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA
"18" "99.9" "106" "3" " 8. kerület, Magdolna utca 35. " "új építésu" "2019" "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "udvari" "56 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "3 M Ft"
"19" "24.9" "30" "1" " 16. kerület, Hosök fasora " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "nincs" "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" "udvari beálló - megvásárolható" NA NA "1 M Ft"
"20" "28.1" "59" "2" " 18. kerület, Havanna-lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "40 000 Ft/hó" "nincs megadva" NA
