"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"1" "47.9" "62" "3" " 2. kerület, Muraközi utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "kelet" "udvari" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"2" "23.99" "29" "1" " 3. kerület, Hatvany Lajos utca " "új építésu" "2020" "összkomfortos" "AA+" "nincs megadva" "5" "van" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "2 m²" "nem" "nincs megadva" "nincs megadva" NA NA
"3" "43.9" "108" "3" " 21. kerület, Csepel-Királyerdo " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gázkazán" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "25.5 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"4" "23.45" "36" "1" " 13. kerület, Reitter Ferenc utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "28.9" "72" "4" " 21. kerület, Táncsics Mihály utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA
"6" "38.5" "50" "2" " 13. kerület, Déryné köz " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "25 000 Ft/hó"
"7" "69.9" "103" "4" " 14. kerület, Thököly út " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "30 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA "30 000 Ft/hó"
"8" "34.9" "55" "2" " 13. kerület, Futár utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "dél" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" NA
"9" "67.9" "123" "5" " 23. kerület, Soroksár – Orbánhegy " "új építésu" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"10" "49.99" "72" "2" " 13. kerület, Dráva utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
