"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "44.42" "70" "2" " 18. kerület, Erdoskert " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "udvari beálló" NA NA NA NA NA
"2" "115.49" "154" "5" " 10. kerület, Kobánya – Óhegy " "új építésu" "2020" "duplakomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel, hoszivattyú" "igen" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "40 000 Ft/hó" "46 m²" NA NA NA
"3" "67.5" "90" "3" " 12. kerület, Márvány utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"4" "42.99" "68" "3" " 3. kerület, Óbudai lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA NA
"5" "133.45" "107" "5" " 6. kerület, Jókai utca " "újszeru" "2018" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "54 m²" NA NA NA
"6" "71.1" "45" "2" " 12. kerület, Beethoven utca " "új építésu" "2019" "luxus" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "van" "7 M Ft"
"7" "105.9" "61" "2" " 12. kerület, Beethoven utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "19.3 m²" NA "van" "7 M Ft"
"8" "34.5" "54" "2" " 20. kerület, Pacsirtatelep " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "udvari" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "16 m²" NA "nincs" NA
"9" "89.55" "80" "3" " 5. kerület, Hercegprímás utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA NA NA
"10" "47.5" "67" "2" " 2. kerület, Zöldmál " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "zárószint" "utca, közterület - fizetos övezet" NA "6 m²" NA "nincs" NA
