"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "rezsikoltseg" "lakopark_neve" "panelprogram"
"1" "48.9" "57" "2" " 2. kerület, Gyorskocsi utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"2" "59.9" "73" "2" " 11. kerület, Kende utca " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA NA NA NA
"3" "260" "105" "4" " 2. kerület, Rózsadomb " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "mennyezeti hutés-futés" NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "45 m²" "7 M Ft" NA NA NA
"4" "31.9" "40" "1" " 14. kerület, Törökor utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA "20 000 Ft/hó" NA NA
"5" "22.85" "42" "2" " 20. kerület, Kossuthfalva " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "62.9" "100" "2" " 8. kerület, Krúdy utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA "40 000 Ft/hó" NA NA
"7" "94.1" "76" "3" " 1. kerület, Márvány 20 Residences " "új építésu" "2019" "duplakomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "11.7 m²" "6 M Ft" NA "Márvány 20 Residences" NA
"8" "75.8" "84" "2" " 5. kerület, Lipótváros " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "49.9" "81" "2" " 15. kerület, Rákospalota – Szilasparki-lakótelep " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "7 m²" NA NA NA NA
"10" "109.97" "113" "5" " 3. kerület, Óbuda-Óváros " "új építésu" "2021" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "12 m²" "4 M Ft" NA NA NA
"11" "86.9" "106" "4" " 9. kerület, Berzenczey utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "16 m²" NA NA NA NA
"12" "94.9" "97" "4" " 13. kerület, Úszódaru utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" NA NA NA NA
"13" "34.99" "41" "1" " 13. kerület, Thurzó utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1 m²" NA "20 000 Ft/hó" NA NA
"14" "39.9" "107" "3" " 21. kerület, Csepel-Királyerdo " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gázkazán" "nincs" "igen" "külön és egyben is" "délnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"15" "150" "103" "3" " 5. kerület, Párizsi utca " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"16" "51.9" "62" "2" " 13. kerület, Angyalföld " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" "16.5 m²" "3.8 M Ft" "17 000 Ft/hó" NA NA
"17" "103" "93" "4" " 13. kerület, Rokolya utca " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "80 m²" "3 M Ft" NA NA NA
"18" "23.4" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "20 000 Ft/hó" NA "nem vett részt"
"19" "47.5" "50" "2" " 13. kerület, Szent László út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "28 m²" "2.5 M Ft" NA NA NA
"20" "66.9" "60" "3" " 9. kerület, Ráday utca " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
