"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "65.38" "65" "3" " 11. kerület, Semiramis Garden " "Semiramis Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "24.76 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA
"2" "42.66" "46" "1" " 9. kerület, BB Házak " "BB Házak" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "észak" "utcai" "10.83 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"3" "43.9" "52" "2" " 11. kerület, Lágymányos " NA "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nyugat" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"4" "28.9" "63" "3" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "nincs megadva" "délnyugat" "utcai" NA "nem" NA "utca, közterület" NA NA NA
"5" "45" "60" "2" " 3. kerület, Óbuda-Óváros " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "igen" "nincs megadva" "nincs megadva" NA NA NA
"6" "59.99" "80" "3" " 11. kerület, Barázda köz 51. " NA "felújított" "2001-2010 között" "összkomfortos" "AA++" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "tetotéri" "teremgarázs hely - bérelheto" "15 000 Ft/hó" NA NA
"7" "37.5" "54" "2" " 13. kerület, Janicsár utca " NA "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "33.9" "66" "3" " 3. kerület, Juhász Gyula utca " NA "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "7" "10" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nem vett részt" NA
"9" "29.7" "33" "1" " 13. kerület, Váci út " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "10 000 Ft/hó"
"10" "93.4" "86" "4" " 3. kerület, Fagyöngy Lakópark " "Fagyöngy Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "18.5 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
