"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "36.8" "49" "2" " 9. kerület, József Attila-lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "15 000 Ft/hó" "igen" "egy helyiségben" "kelet" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "57.99" "80" "3" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"3" "112" "108" "4" " 12. kerület, Zugliget " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gázkazán" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"4" "228" "186" "4" " 12. kerület, Mártonhegy " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "40 000 Ft/hó" "nem" "külön és egyben is" "délkelet" "panorámás" "39 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"5" "27.39" "46" "1" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" "részt vett" NA NA
"6" "38.9" "56" "2" " 6. kerület, Németh László utca " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "139" "132" "3" " 5. kerület, Akadémia utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "házközponti" "van" NA "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "52.4" "50" "2" " 2. kerület, II/A kerület – Budaliget " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA
"9" "22.99" "53" "2" " 18. kerület, Havanna-lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA
"10" "64.9" "81" "3" " 20. kerület, Madison Park " "új építésu" "2019" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "32 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "2.5 M Ft" "Madison Park"
"11" "30.6" "43" "1" " 13. kerület, Forgách utca 32. " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"12" "61.5" "98" "3" " 4. kerület, Újpest-Központ " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "5 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"13" "31.9" "49" "2" " 22. kerület, Tuzliliom utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA NA
"14" "70.67" "75" "3" " 3. kerület, Forest Hill Lakópark " "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "igen" "nincs megadva" "nincs megadva" "udvari" "48 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA "4.5 M Ft" "Forest Hill Lakópark"
"15" "43" "44" "2" " 13. kerület, Meder utca 2-4 " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "9" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "10 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "4.5 M Ft" NA
"16" "94.9" "84" "2" " 1. kerület, Krisztinaváros " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "panorámás" NA "nem" "nincs megadva" "utca, közterület" NA NA NA
"17" "42" "42" "1" " 6. kerület, Király utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "27.9" "57" "2" " 13. kerület, Rokolya utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs" NA "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA
"19" "19.2" "50" "2" " 19. kerület, Szabó Ervin utca " "közepes állapotú" "1950 elott" "komfortos" "GG" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"20" "36.9" "92" "3" " 8. kerület, Szeszgyár utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "dél" "utcai" "1.5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
