"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram"
"1" "25.9" "30" "1" " 3. kerület, Óbuda-Óváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "8 000 Ft/hó" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "38.8" "44" "1" " 2. kerület, Kandó Kálmán utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "2 m²" NA NA
"3" "38.6" "52" "2" " 9. kerület, Tinódi utca 7. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"4" "129" "117" "4" " 3. kerület, Perényi út " "újszeru" "2011" "luxus" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "15 000 Ft/hó" "nem" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "van" "30 m²" "6 M Ft" NA
"5" "84.3" "96" "2" " 7. kerület, Akácfa utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA
"6" "63" "65" "2" " 2. kerület, Völgy utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" NA "igen" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "12 m²" NA NA
"7" "24.9" "59" "2" " 19. kerület, Kispesti lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "nem vett részt"
"8" "38.4" "65" "3" " 11. kerület, Albert utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "4 m²" NA "részt vett"
"9" "72.9" "78" "3" " 2. kerület, Árpád fejedelem útja " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "van" "4 m²" NA NA
"10" "58.5" "51" "2" " 13. kerület, Danubius utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "20 150 Ft/hó" "igen" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "12 m²" NA NA
