"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "lakopark_neve" "parkolohely_ara" "panelprogram"
"1" "57.9" "58" "2" " 7. kerület, Nyár utca 7. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "24 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "51" "48" "1" " 6. kerület, Teréz körút " "felújított" NA "luxus" "A+" "3" "3" "nincs" "nincs megadva" "megújuló energia" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA NA
"3" "76.9" "109" "3" " 1. kerület, Víziváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "3.44 m²" NA NA NA
"4" "37.9" "39" "2" " 6. kerület, Eötvös utca " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "79.9" "67" "3" " 5. kerület, Fehér Hajó utca " "jó állapotú" NA "komfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs" NA NA NA NA
"6" "49.99" "72" "2" " 8. kerület, Krúdy utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"7" "40.5" "43" "2" " 13. kerület, Lehel utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "van" "6 m²" NA NA NA
"8" "102.3" "76" "3" " 1. kerület, Márvány 20 Residences " "új építésu" "2019" "duplakomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "11.7 m²" "Márvány 20 Residences" "6 M Ft" NA
"9" "36.91" "44" "2" " 8. kerület, Rigó III Lakópark " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "5.62 m²" "Rigó III Lakópark" "4.8 M Ft" NA
"10" "46.07" "46" "2" " 8. kerület, Rigó III Lakópark " "új építésu" "2021" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "5.08 m²" "Rigó III Lakópark" "4.8 M Ft" NA
