"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "panelprogram"
"1" "46.78" "44" "2" " 11. kerület, Gazdagrét " "új építésu" "2019" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "utcai" "8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"2" "92.4" "93" "4" " 11. kerület, Gazdagrét " "új építésu" "2019" "duplakomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délkelet" "utcai" "23 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"3" "73.2" "103" "4" " 3. kerület, Ürömhegy " "új építésu" "2019" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "északnyugat" "kertre nézo" "38.79 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"4" "69.1" "99" "4" " 3. kerület, Ürömhegy " "új építésu" "2019" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "panorámás" "47.51 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"5" "57.72" "103" "4" " 10. kerület, Kobánya – Újhegy " "új építésu" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "5" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "27.8" "33" "1" " 3. kerület, Békásmegyeri lakótelep Duna felol " "új építésu" "2019" "összkomfortos" "AA++" "1" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "7.5 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA
"7" "32.1" "38" "2" " 19. kerület, Kispest " "új építésu" "2020" "összkomfortos" "AA++" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" "van" NA
"8" "54.78" "83" "2" " 15. kerület, Rákospalota " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA NA
"9" "101.32" "149" "4" " 17. kerület, Rákoscsaba " "új építésu" "2019" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "nem" "külön és egyben is" "délnyugat" "panorámás" "21 m²" "igen" "tetotéri" "udvari beálló - benne van az árban" NA "van" NA
"10" "71.4" "105" "3" " 17. kerület, Rákoscsaba " "új építésu" "2019" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "20 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" NA
