"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara"
"1" "76.5" "96" "4" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"2" "45.8" "57" "2" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA
"3" "123.4" "98" "3" " 11. kerület, Sasad " "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "20 m²" NA
"4" "51.9" "65" "3" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "nincs megadva" "nyugat" "udvari" "igen" "nincs megadva" "nincs megadva" NA NA
"5" "125" "126" "5" " 11. kerület, Kelenföld " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "30 m²" NA
"6" "73" "89" "3" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"7" "64" "72" "2" " 7. kerület, Nyár utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "51" "55" "2" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "76" "94" "3" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "tetotéri" "nincs megadva" NA NA
"10" "36" "40" "2" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
