"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "lakopark_neve" "parkolohely_ara"
"1" "43.9" "58" "2" " 6. kerület, Jókai utca 36. " "felújított" "2019" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "nincs megadva" "nem" "egy helyiségben" "nyugat" "utcai" "8 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "40.9" "61" "2" " 6. kerület, Jókai utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "40 000 Ft/hó" NA NA NA
"3" "56.9" "80" "2" " 13. kerület, Lehel utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"4" "52" "66" "2" " 11. kerület, Fehérvári út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "39.99" "52" "2" " 3. kerület, Tímár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "25 000 Ft/hó" "nincs" NA NA
"6" "144.16" "135" "4" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "északnyugat" "panorámás" "50 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "Sasad Resort Hilltop by Cordia" "3.5 M Ft"
"7" "143.35" "124" "4" " 11. kerület, Sasad Liget V. ütem " "új építésu" "2017" "luxus" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "77 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "Sasad Liget V. ütem" "4.5 M Ft"
"8" "47.99" "68" "2" " 14. kerület, Beckó utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "6 m²" "nincs megadva" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA "van" NA "1.5 M Ft"
"9" "84.9" "120" "4" " 3. kerület, Rozália utca " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "18 m²" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA "van" NA "5 M Ft"
"10" "42.24" "44" "2" " 13. kerület, Turóc utca 9. " "közepes állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "10.35 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs" NA NA
"11" "65" "79" "4" " 8. kerület, Fecske utca 7. " "új építésu" "2019" "összkomfortos" "nincs megadva" "6" "8" "van" "nincs megadva" "házközponti egyedi méréssel, hoszivattyú" "igen" "nincs megadva" "kelet" "utcai" "10.3 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA NA
