"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "62.85" "81" "3" " 8. kerület, Józsefváros – Csarnoknegyed " "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "dél" "udvari" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "46.71" "51" "2" " 9. kerület, Középso-Ferencváros " "új építésu" "2020" "összkomfortos" "nincs megadva" "4" "10" "nincs megadva" "nincs megadva" "mennyezeti hutés-futés" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "8.19 m²" "nincs megadva" NA "teremgarázs hely" "van" NA NA
"3" "175.9" "112" "4" " 12. kerület, Diana utca " "új építésu" "2019" "luxus" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "12 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "van" NA NA
"4" "47.99" "68" "3" " 14. kerület, Bíbor utca " "új építésu" "2020" "luxus" "AA+" "2" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön és egyben is" "dél" "kertre nézo" "12 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "3 000 Ft/hó" "4 M Ft"
"5" "39.99" "53" "2" " 14. kerület, Bíbor utca " "új építésu" "2019" "luxus" "AA+" "2" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "6.81 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "3 000 Ft/hó" "4 M Ft"
"6" "47.91" "63" "3" " 13. kerület, Angyalföld " "új építésu" "2020" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "9 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "3.5 M Ft"
"7" "62" "45" "2" " 6. kerület, Szív utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "udvari" "11 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "6.4 M Ft"
"8" "189" "95" "3" " 2. kerület, Országút " "új építésu" "2019" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "dél" "utcai" "14.6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "92.95" "97" "4" " 11. kerület, Péterhegy " "új építésu" "2018" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "igen" "külön helyiségben" "dél" "kertre nézo" "30 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "4 M Ft"
"10" "62.46" "64" "3" " 11. kerület, Péterhegy " "új építésu" "2018" "nincs megadva" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "igen" "külön helyiségben" "dél" "kertre nézo" "18 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "4 M Ft"
"11" "199.15" "198" "5" " 11. kerület, Péterhegy " "új építésu" "2018" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "igen" "külön és egyben is" "dél" "panorámás" "142 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "4 M Ft"
