"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "112" "130" "5" " 11. kerület, Péterhegy " "újszeru" "2011" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "van" "nem" "egy helyiségben" "nyugat" "panorámás" "14.7 m²" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA
"2" "20.9" "50" "1" " 9. kerület, Sobieski János utca " "felújított" NA "összkomfortos" "nincs megadva" "szuterén" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA
"3" "285" "200" "5" " 5. kerület, Lipótváros " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "39.2" "49" "2" " 13. kerület, Népfürdo utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nem vett részt" NA NA
"5" "32.9" "53" "2" " 11. kerület, Tuzko utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" "25 000 Ft/hó" NA
"6" "31.5" "48" "1" " 7. kerület, Damjanich utca " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "133.8" "109" "2" " 2. kerület, II/A kerület – Budaliget " "befejezetlen" NA "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "81 m²" "nem" "penthouse" "teremgarázs hely - kötelezo megvenni" NA NA "4 M Ft"
"8" "67.9" "70" "2" " 2. kerület, Alsó Zöldmáli út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "8 m²" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA NA
"9" "44.9" "50" "3" " 11. kerület, Rozsnyó tér " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "8 000 Ft/hó" NA
"10" "85.9" "106" "4" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "189" "134" "3" " 5. kerület, Petofi Sándor utca " "felújított" "2019" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "28 000 Ft/hó" NA
"12" "37.9" "49" "2" " 3. kerület, Szolo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "kelet" "utcai" "2.5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"13" "23.9" "50" "2" " 18. kerület, Lakatos-lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"14" "22.9" "37" "1" " 15. kerület, Újpalota " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA NA
"15" "63" "66" "2" " 2. kerület, II/A kerület – Hársakalja " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "10 m²" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
