"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara"
"1" "30.5" "49" "2" " 3. kerület, Szolo utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "20 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - fizetos övezet" NA NA
"2" "35.99" "55" "2" " 4. kerület, Erzsébet utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA
"3" "55.9" "67" "2" " 6. kerület, Weiner Leó utca 13. " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA
"4" "40.9" "61" "2" " 6. kerület, Csengery utca 55. " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" NA NA
"5" "44.9" "64" "2" " 6. kerület, Podmaniczky utca 49. " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "van" NA
"6" "386" "185" "4" " 5. kerület, Vörösmarty tér " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "13.8 M Ft"
"7" "53" "58" "1" " 2. kerület, Országút " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "elektromos, cserépkályha" "30 000 Ft/hó" "nem" "külön helyiségben" "kelet" "utcai" "2 m²" "nem" "nem tetotéri" NA "utca, közterület" "van" NA
"8" "67.9" "124" "3" " 6. kerület, Podmaniczky utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "nincs" NA
"9" "31.6" "31" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" NA "nincs megadva" "van" NA
"10" "64.9" "68" "2" " 6. kerület, Liszt Ferenc tér " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "6 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
