"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "epites_eve" "rezsikoltseg"
"1" "25.4" "53" "2" " 18. kerület, Havanna-lakótelep " "felújítandó" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA
"2" "119" "80" "2" " 13. kerület, Szent István park " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "4 m²" NA NA
"3" "89.9" "129" "4" " 2. kerület, Országút " "felújított" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "7 m²" "1950 elott" NA
"4" "49.9" "63" "2" " 11. kerület, Lágymányos " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "1950 elott" NA
"5" "36.9" "52" "2" " 14. kerület, Alsórákos " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "4 m²" "1950-1980 között" NA
"6" "25.5" "47" "2" " 8. kerület, Német utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "egy helyiségben" "észak" "udvari" "nem" "nincs megadva" NA "udvari beálló - benne van az árban" NA "1950 elott" NA
"7" "75" "62" "3" " 2. kerület, Zöldmál " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" "igen" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "30 m²" "2001-2010 között" NA
"8" "84" "59" "2" " 5. kerület, Lipótváros " "jó állapotú" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "14 m²" "1950 elott" NA
"9" "26.7" "57" "2" " 3. kerület, Bálint György utca " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA "1950-1980 között" NA
"10" "24.9" "27" "2" " 1. kerület, Pauler utca " "nincs megadva" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" "10 m²" "1950-1980 között" NA
"11" "44.9" "55" "2" " 12. kerület, Gaál József út " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950-1980 között" NA
"12" "19.9" "36" "1" " 10. kerület, Maglódi út 10. " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" NA "udvari beálló - bérelheto" NA "1950-1980 között" NA
