"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "22.9" "35" "1" " 16. kerület, Lándzsa utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA NA
"2" "22.9" "31" "1" " 3. kerület, Békásmegyeri lakótelep Duna felol " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "4" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "31.99" "72" "2" " 10. kerület, Gépmadár utca " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "nincs megadva" "4.5 m²" NA NA NA NA
"4" "20.99" "24" "1" " 13. kerület, Angyalföld – Loportárdulo " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"5" "33.5" "75" "3" " 21. kerület, Táncsics Mihály utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA "1981-2000 között" "nincs" "25 000 Ft/hó" NA
"6" "26.2" "35" "1" " 15. kerület, Neptun utca " "felújított" "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA NA NA NA
"7" "33.2" "47" "2" " 7. kerület, Murányi utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA "1950-1980 között" "nincs" "25 000 Ft/hó" NA
"8" "24.2" "52" "2" " 8. kerület, Asztalos Sándor út " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA NA
"9" "57.5" "69" "3" " 12. kerület, Galgóczy utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "10 m²" "1950-1980 között" NA NA NA
"10" "22.9" "33" "1" " 7. kerület, Murányi utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs" NA NA
"11" "25.9" "44" "1" " 15. kerület, Bartók Béla utca " "újszeru" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA "1950 elott" NA NA NA
