"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "legkondicionalo" "tetoter" "rezsikoltseg" "panelprogram"
"1" "37.5" "64" "3" " 8. kerület, Józsefváros – Losoncinegyed " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "utcai" "4 m²" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "29.3" "55" "2" " 10. kerület, Kobánya – Óhegy " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "8 m²" "nincs megadva" "udvari beálló - benne van az árban" "nincs" "nincs megadva" NA NA
"3" "89" "107" "4" " 12. kerület, Kléh István utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "utca, közterület - fizetos övezet" "nincs" "nem tetotéri" NA NA
"4" "42.9" "124" "2.5" " 18. kerület, Ganz-kertváros " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" NA "igen" "udvari beálló" NA "tetotéri" NA NA
"5" "26" "43" "1" " 16. kerület, Újszász utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "1 m²" "igen" "nincs megadva" NA "nincs megadva" "25 000 Ft/hó" NA
"6" "74" "115" "3" " 8. kerület, Józsefváros – Népszínháznegyed " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "utca, közterület - fizetos övezet" NA "nem tetotéri" "30 000 Ft/hó" NA
"7" "39.9" "53" "2" " 13. kerület, Vág utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "udvari beálló - benne van az árban" NA "nem tetotéri" NA "nincs megadva"
"8" "34.5" "58" "2" " 13. kerület, Hajdú utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "utca, közterület" NA "nem tetotéri" NA "nincs megadva"
"9" "79.9" "109" "3" " 13. kerület, Hegedus Gyula utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "észak" "utcai" NA "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA
"10" "17.9" "46" "1" " 10. kerület, Pántlika utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor), nincs" "nem" "külön helyiségben" "délkelet" "udvari" NA "igen" "udvari beálló - benne van az árban" "nincs" "nem tetotéri" NA NA
