"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "epites_eve" "rezsikoltseg" "parkolohely_ara"
"1" "36.5" "36" "1" " 5. kerület, Reáltanoda utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "30.5" "50" "2" " 14. kerület, Pillangó park " "közepes állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" "4 m²" "részt vett" NA NA NA
"3" "69.9" "76" "3" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely" NA "15.3 m²" NA "2019" NA NA
"4" "49" "60" "3" " 2. kerület, Zöldlomb utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nem" NA "utca, közterület - ingyenes" "nincs" "6 m²" NA "1981-2000 között" NA NA
"5" "22.9" "28" "1" " 18. kerület, Lakatos-lakótelep " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "zárószint" "utca, közterület - ingyenes" "nincs" NA NA "1950-1980 között" NA NA
"6" "14.9" "27" "1" " 20. kerület, Hitel Márton utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"7" "13.49" "29" "1" " 4. kerület, Berzeviczy Gergely utca 16. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"8" "28.9" "53" "2" " 19. kerület, Kosárfonó utca " "jó állapotú" "nincs megadva" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "4 m²" "részt vett" NA NA NA
"9" "17.5" "20" "1" " 21. kerület, Csepel-Csillagtelep " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "1950-1980 között" NA NA
"10" "25.9" "47" "1" " 9. kerület, Napfény utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "4 m²" NA "1981-2000 között" "25 000 Ft/hó" NA
