"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "legkondicionalo" "lakopark_neve" "parkolohely_ara"
"1" "28.6" "35" "1" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "37.99" "45" "1" " 13. kerület, Pannónia utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "nincs megadva" "10 000 Ft/hó" "2 m²" NA NA NA
"3" "39.9" "67" "2" " 13. kerület, Garam utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"4" "79.9" "101" "3" " 13. kerület, Katona József utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "6" "6" "van" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "északkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület" "22 000 Ft/hó" "5 m²" "van" NA NA
"5" "31.5" "72" "3" " 4. kerület, Bárdos Artúr utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA NA NA
"6" "79.9" "93" "4" " 13. kerület, Jász utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "46 m²" NA NA NA
"7" "31.8" "37" "1" " 13. kerület, Vizafogó " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "6" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "20 000 Ft/hó" "2 m²" NA NA NA
"8" "21.6" "35" "1" " 4. kerület, Szigeti József utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "54.3" "83" "3" " 6. kerület, Bajnok utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA NA NA
"10" "24.9" "32" "1" " 14. kerület, Herminamezo " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "északnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA NA NA
"11" "38" "51" "2" " 14. kerület, Telepes utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" NA "1 m²" "nincs" NA NA
"12" "25.99" "53" "2" " 15. kerület, Drégelyvár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA NA NA
"13" "29.9" "54" "2" " 13. kerület, Hegedus Gyula utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület" "10 000 Ft/hó" NA "nincs" NA NA
"14" "74.9" "78" "3" " 3. kerület, Csillaghegy " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "udvari beálló - benne van az árban" NA "25 m²" "van" NA NA
"15" "34.8" "32" "1" " 13. kerület, Zsinór39 Projekt " "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "10.64 m²" "nincs" "Zsinór39 Projekt" "3 M Ft"
"16" "91" "96" "2" " 11. kerület, Sashegy " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "panorámás" "igen" "nem tetotéri" NA "teremgarázs hely - benne van az árban" NA "57 m²" NA NA NA
"17" "69.9" "51" "3" " 14. kerület, Öv utca " "új építésu" "2019" "duplakomfortos" "AA+" "8" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" NA "teremgarázs hely - megvásárolható" "20 000 Ft/hó" "155 m²" "van" NA "5 M Ft"
