"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely"
"1" "29.9" "53" "2" " 19. kerület, Kispesti lakótelep " "felújított" "1950-1980 között" "összkomfortos" "DD" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA
"2" "21.9" "47" "1" " 20. kerület, Csepeli átjáró " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "észak" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"3" "26.8" "50" "2" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "81" "73" "3" " 1. kerület, Iskola utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "fan-coil" "van" "nincs megadva" "nincs megadva" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"5" "35.98" "51" "2" " 11. kerület, Móricz Zsigmond körtér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "30 000 Ft/hó" NA
"6" "21" "29" "1" " 18. kerület, Margó Tivadar utca 216. " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "40 000 Ft/hó" NA
"7" "174" "115" "4" " 11. kerület, Lépés utca " "nincs megadva" "2019" "luxus" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia" NA "nem" "nincs megadva" "dél" "panorámás" "igen" "nem tetotéri" NA "önálló garázs - benne van az árban" NA "84 m²"
"8" "55.9" "60" "2" " 5. kerület, Lipótváros " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA
"9" "99.8" "72" "3" " 5. kerület, Belgrád rakpart " "újszeru" "1950 elott" "luxus" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "35 000 Ft/hó" NA
"10" "34.9" "43" "1" " 7. kerület, Jósika utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "20 000 Ft/hó" NA
