"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "31.5" "46" "2" " 8. kerület, Baross utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "34.5" "48" "2" " 11. kerület, Albertfalvai lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" "részt vett" NA NA NA NA
"3" "28.9" "41" "1" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "76" "106" "4" " 13. kerület, Újlipótváros " "felújított" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA NA NA
"5" "119.9" "140" "5" " 6. kerület, Jókai utca 20. " "újszeru" "2019" "duplakomfortos" "AA" "4" "5" "van" "nincs megadva" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA "van" NA NA
"6" "69.9" "97" "3" " 9. kerület, Gönczy Pál utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "242.8" "123" "4" " 11. kerület, Gellérthegy " "befejezetlen" NA "duplakomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "23 m²" "van" "9 M Ft" NA
"8" "28.3" "42" "1" " 8. kerület, Karácsony Sándor utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "28" "56" "2" " 14. kerület, Tábornok utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA NA
"10" "48" "70" "2" " 11. kerület, Október huszonharmadika utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "2 m²" NA NA NA
