"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram"
"1" "63.9" "94" "2" " 8. kerület, Józsefváros – Palotanegyed " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön és egyben is" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "26.5" "46" "1" " 22. kerület, Tenkes utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "20 000 Ft/hó" "4 m²" NA
"3" "66.9" "77" "2" " 7. kerület, Klauzál tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"4" "77.7" "90" "3" " 7. kerület, Damjanich utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"5" "36.99" "56" "3" " 17. kerület, Rákoskeresztúr " "jó állapotú" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "70 m²" NA
"6" "36.9" "41" "2" " 22. kerület, Margit utca " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "padlófutés" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló" "15 000 Ft/hó" "6 m²" NA
"7" "39.9" "77" "2" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"8" "89.9" "108" "5" " 14. kerület, Alsórákos " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA
"9" "24.5" "21" "1" " 13. kerület, Vizafogó " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"10" "38.9" "56" "1" " 9. kerület, Mester utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "8" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "4 m²" NA
