"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "29.9" "53" "2" " 3. kerület, Kabar utca " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "69.9" "121" "2" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"3" "38.9" "53" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950-1980 között" "2 m²" NA NA NA
"4" "85" "103" "5" " 6. kerület, Teréz körút " "felújított" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"5" "64.5" "90" "3" " 11. kerület, Kelenföld " "újszeru" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "tetotéri" NA "utca, közterület" "2001-2010 között" NA "van" "15 000 Ft/hó" NA
"6" "19.99" "35" "1" " 18. kerület, Nemes utca 125. " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "házközponti, gázkazán" "nem" "egy helyiségben" "északnyugat" "utcai" "nem" "tetotéri" NA "utca, közterület - ingyenes" "1981-2000 között" NA "nincs" "20 000 Ft/hó" NA
"7" "11.9" "13" "1" " 13. kerület, Újlipótváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"8" "25" "53" "2" " 21. kerület, Szent László utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA "4 m²" "nincs" NA NA
"9" "27.9" "50" "2" " 3. kerület, Óbudai lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "nyugat" "nincs megadva" "nem" "nincs megadva" "nem vett részt" "utca, közterület" "1950-1980 között" "3.9 m²" NA "8 000 Ft/hó" NA
"10" "97" "115" "4" " 14. kerület, Mályva utca 17. " "felújított" "luxus" "AA" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló - kötelezo megvenni" "1950-1980 között" "13 m²" "van" NA "1.8 M Ft"
