"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "parkolohely_ara" "panelprogram"
"1" "48.8" "60" "2" " 6. kerület, Eötvös utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "40.9" "66" "2" " 14. kerület, Törökor " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "9 900 Ft/hó" NA NA NA
"3" "63.9" "65" "2" " 11. kerület, Sopron út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "10 000 Ft/hó" "10 m²" "3.8 M Ft" NA
"4" "36" "71" "3" " 4. kerület, Aradi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "9 000 Ft/hó" "4 m²" NA "nincs megadva"
"5" "69.9" "89" "3" " 2. kerület, Zivatar utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA NA NA
"6" "24.5" "37" "1" " 10. kerület, Szárnyas utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "7 000 Ft/hó" NA NA NA
"7" "59.9" "74" "3" " 7. kerület, Rákóczi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "délnyugat" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "3 m²" NA NA
"8" "34.9" "55" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "3.2 m²" NA "nincs megadva"
"9" "74.7" "73" "4" " 13. kerület, Angyalföld " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "45.29 m²" "3 M Ft" NA
"10" "112.3" "75" "2" " 12. kerület, Németvölgy " "nincs megadva" "2019" "luxus" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA "18.35 m²" "7 M Ft" NA
