"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "lakopark_neve" "rezsikoltseg" "panelprogram"
"1" "31.5" "47" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "4 m²" "nem" "nincs megadva" "udvari beálló - bérelheto" "10 000 Ft/hó" NA NA NA
"2" "51.5" "59" "3" " 11. kerület, Savoya Ház " "új építésu" "2019" "nincs megadva" "A+" "6" "7" "van" "3 m vagy magasabb" "hoszivattyú" "van" "igen" "külön helyiségben" "dél" "panorámás" "11 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "3 M Ft" "Savoya Ház" NA NA
"3" "23.5" "34" "1" " 15. kerület, Drégelyvár utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "20 000 Ft/hó" "nem vett részt"
"4" "34.9" "44" "3" " 8. kerület, József körút 60. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"5" "165.69" "89" "3" " 5. kerület, Sweet Corner Residence " "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "van" "igen" "külön helyiségben" "nyugat" "udvari" "25.68 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "Sweet Corner Residence" NA NA
"6" "76" "76" "2" " 9. kerület, Ráday utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"7" "49.9" "85" "3" " 7. kerület, Murányi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "33.6" "51" "2" " 11. kerület, Hadak útja " "felújított" NA "összkomfortos" "nincs megadva" "9" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "egy helyiségben" "dél" "panorámás" "8 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nem vett részt"
"9" "143.75" "121" "3" " 8. kerület, Bródy Sándor utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"10" "21" "60" "2" " 8. kerület, Diószegi Sámuel utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"11" "139" "104" "4" " 3. kerület, Saroglya köz " "új építésu" "2020" "luxus" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú" NA "igen" "külön és egyben is" "délkelet" "panorámás" "25 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"12" "179" "113" "4" " 3. kerület, Aranyhegy " "új építésu" "2020" "luxus" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú" NA "nem" "külön és egyben is" "délkelet" "panorámás" "70 m²" "nem" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"13" "39.4" "43" "2" " 13. kerület, Béke Residence " "új építésu" "2022" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" NA "igen" "nincs megadva" "észak" "nincs megadva" "7.79 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2.99 M Ft" "Béke Residence" NA NA
"14" "39.99" "47" "2" " 9. kerület, Ipar utca 3. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "52.9" "64" "2" " 2. kerület, Kis Rókus utca 9-11 " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "42.9" "65" "3" " 3. kerület, Óbudai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "kelet" "panorámás" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva"
"17" "58.5" "74" "2" " 13. kerület, Hegedus Gyula utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"18" "37.5" "44" "2" " 14. kerület, Amerikai út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "15 000 Ft/hó" NA
"19" "43.47" "47" "1" " 9. kerület, BB Házak " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "nyugat" "utcai" "8.16 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" "BB Házak" NA NA
"20" "43.13" "47" "1" " 9. kerület, BB Házak " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "északkelet" "utcai" "10.68 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" "BB Házak" NA NA
