"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "34.2" "53" "2" " 14. kerület, Tihany utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nem" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" NA NA NA
"2" "63" "59" "2" " 5. kerület, Bihari János utca 16. " "jó állapotú" "1950 elott" "duplakomfortos" "BB" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "29 000 Ft/hó" NA NA
"3" "29.99" "50" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "nincs megadva" "nincs" "nem" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA "1 m²" NA
"4" "31.9" "42" "2" " 10. kerület, Újhegy – Rózsaliget-lakópark " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "udvari beálló - kötelezo megvenni" NA "2.8 m²" NA
"5" "33.5" "70" "3" " 15. kerület, Páskomliget utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "40 000 Ft/hó" "8 m²" NA
"6" "13.4" "27" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "egyéb" "nincs" "nem" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA
"7" "32.5" "31" "1" " 6. kerület, Podmaniczky utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"8" "35.9" "46" "2" " 19. kerület, Wekerletelep " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "kelet" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA
"9" "26" "34" "1" " 14. kerület, Törökor " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"10" "25.9" "53" "2" " 15. kerület, Nyírpalota út " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "részt vett" "nincs megadva" NA NA NA
"11" "64" "66" "2" " 13. kerület, Párkány utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "4 m²" "5 M Ft"
"12" "34" "60" "2" " 8. kerület, II. János Pál pápa tér " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"13" "59.9" "69" "2" " 1. kerület, Víziváros – Váralja " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "12 000 Ft/hó" NA NA
"14" "62.5" "83" "2" " 7. kerület, Rákóczi út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"15" "29.9" "35" "1" " 7. kerület, Dózsa György út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "elektromos" NA "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"16" "93.5" "105" "4" " 9. kerület, Belso-Ferencváros " "felújított" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"17" "72.2" "81" "3" " 3. kerület, Fanyarka utca " "felújított" "2011" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "10 m²" NA
"18" "60" "95" "3" " 14. kerület, Egressy út " "nincs megadva" "2017" "összkomfortos" "AA+" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" NA "önálló garázs - megvásárolható" NA "7 m²" NA
"19" "62.9" "80" "3" " 11. kerület, Kalotaszeg utca " "újszeru" "2001-2010 között" "összkomfortos" "D" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "dél" "utcai" "nem" "tetotéri" NA "nincs megadva" NA NA NA
"20" "52.5" "67" "2" " 2. kerület, Varsányi Irén utca " "felújítandó" "1950-1980 között" "összkomfortos" "D" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA "2 m²" NA
