"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "53.4" "55" "2" " 6. kerület, Bajza utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "38.5" "57" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"3" "38" "71" "2" " 4. kerület, Zichy Mihály utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "2 m²" "nincs megadva" NA NA
"4" "36.5" "54" "2" " 22. kerület, Budafok " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "13 m²" NA NA NA
"5" "26.5" "53" "2" " 18. kerület, Szent Lorinc-lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nincs megadva" NA "utca, közterület - ingyenes" "nincs" NA NA NA NA
"6" "48.9" "69" "3" " 14. kerület, Egressy út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"7" "74" "86" "2" " 11. kerület, Szentimreváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "63.43" "82" "3" " 11. kerület, Albertfalva " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "7" "7" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "60 m²" NA NA NA
"9" "31.9" "57" "2" " 3. kerület, Jós utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA NA
"10" "83.9" "57" "2" " 3. kerület, Virág Benedek utca " "újszeru" "2017" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "fan-coil" "nem" "külön helyiségben" "dél" "panorámás" "nem" "legfelso emelet, nem tetotéri" "önálló garázs" "van" "24 m²" NA NA NA
