"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "74.9" "107" "4" " 12. kerület, Krisztinaváros – Városmajor " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nem" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "29.9" "29" "1" " 5. kerület, Kossuth Lajos utca 4. " "felújított" "komfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "14 000 Ft/hó" NA NA NA
"3" "39.5" "29" "1" " 7. kerület, Belso-Erzsébetváros " "újszeru" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "2015" "13 000 Ft/hó" NA NA NA
"4" "111.3" "117" "4" " 2. kerület, Bogár utca 16a " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "önálló garázs - benne van az árban" "1950 elott" NA NA NA NA
"5" "89.9" "85" "3" " 11. kerület, Bartók Béla út " "felújított" "luxus" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délkelet" "kertre nézo" "nem" "nem tetotéri" "udvari beálló" "1950 elott" NA NA NA NA
"6" "56.9" "101" "4" " 12. kerület, Krisztinaváros " "felújítandó" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA "2 m²" NA NA
"7" "119" "126" "4" " 5. kerület, Szent István körút " "felújított" "duplakomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"8" "59.75" "101" "3" " 6. kerület, Szív utca " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"9" "73.4" "102" "3" " 2. kerület, Lipthay utca " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "110" "103" "3" " 12. kerület, Városmajor utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "nincs megadva" "1950 elott" "24 000 Ft/hó" "16 m²" NA NA
"11" "23.9" "64" "2" " 17. kerület, Egészségház utca " "felújítandó" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva" NA
"12" "119.99" "95" "2" " 5. kerület, Petofi Sándor utca 12. " "közepes állapotú" "duplakomfortos" "nincs megadva" "2" "8" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA "10 m²" NA NA
"13" "34.9" "40" "2" " 11. kerület, Olajbogyó utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" "2001-2010 között" NA "6 m²" NA "10 000 Ft/hó"
"14" "36.9" "68" "2" " 19. kerület, Bem utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" NA "3.5 m²" "részt vett" NA
"15" "39.7" "42" "2" " 14. kerület, Erzsébet királyné útja " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA "3 m²" NA NA
