"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "parkolohely_ara"
"1" "35.7" "60" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA
"2" "31.9" "53" "2" " 15. kerület, Rákospalota – Énekes utcai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" "4 m²" NA NA
"3" "125" "120" "4" " 13. kerület, Újlipótváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "27 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "van" NA
"4" "45.9" "67" "2" " 13. kerület, Angyalföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "5.6 m²" NA NA
"5" "18.9" "42" "2" " 9. kerület, Szemafor köz " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"6" "126.15" "132" "4" " 11. kerület, Madárhegy " "befejezetlen" NA "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "40 m²" NA "4 M Ft"
"7" "37.8" "47" "1" " 11. kerület, Daróczi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "35 000 Ft/hó" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület" NA "nincs" NA
"8" "35.9" "53" "3" " 20. kerület, Gubacsipuszta " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "udvari beálló - megvásárolható" NA NA "2.5 M Ft"
"9" "28.4" "66" "2" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "30 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "nem vett részt" "nincs megadva" "7 m²" "nincs" NA
"10" "81" "98" "4" " 7. kerület, Erzsébet körút 30. " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" NA NA NA
"11" "40.91" "66" "3" " 19. kerület, Lehel utca 6. " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "2" "7" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "4 m²" NA NA
"12" "71.99" "94" "3" " 2. kerület, Mechwart tér " "felújított" NA "nincs megadva" "nincs megadva" "6" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "4 m²" "van" NA
